indicator,date,value
ZWE_TX_RPCH,2028-12-31,
ZWE_TX_RPCH,2027-12-31,
ZWE_TX_RPCH,2026-12-31,
ZWE_TX_RPCH,2025-12-31,
ZWE_TX_RPCH,2024-12-31,
ZWE_TX_RPCH,2023-12-31,
ZWE_TX_RPCH,2022-12-31,
ZWE_TX_RPCH,2021-12-31,
ZWE_TX_RPCH,2020-12-31,
ZWE_TX_RPCH,2019-12-31,
ZWE_TX_RPCH,2018-12-31,
ZWE_TX_RPCH,2017-12-31,
ZWE_TX_RPCH,2016-12-31,
ZWE_TX_RPCH,2015-12-31,
ZWE_TX_RPCH,2014-12-31,
ZWE_TX_RPCH,2013-12-31,
ZWE_TX_RPCH,2012-12-31,
ZWE_TX_RPCH,2011-12-31,
ZWE_TX_RPCH,2010-12-31,
ZWE_TX_RPCH,2009-12-31,
ZWE_TX_RPCH,2008-12-31,
ZWE_TX_RPCH,2007-12-31,
ZWE_TX_RPCH,2006-12-31,
ZWE_TX_RPCH,2005-12-31,
ZWE_TX_RPCH,2004-12-31,
ZWE_TX_RPCH,2003-12-31,
ZWE_TX_RPCH,2002-12-31,
ZWE_TX_RPCH,2001-12-31,
ZWE_TX_RPCH,2000-12-31,
ZWE_TX_RPCH,1999-12-31,
ZWE_TX_RPCH,1998-12-31,
ZWE_TX_RPCH,1997-12-31,
ZWE_TX_RPCH,1996-12-31,
ZWE_TX_RPCH,1995-12-31,
ZWE_TX_RPCH,1994-12-31,
ZWE_TX_RPCH,1993-12-31,
ZWE_TX_RPCH,1992-12-31,
ZWE_TX_RPCH,1991-12-31,
ZWE_TX_RPCH,1990-12-31,
ZWE_TX_RPCH,1989-12-31,
ZWE_TX_RPCH,1988-12-31,
ZWE_TX_RPCH,1987-12-31,
ZWE_TX_RPCH,1986-12-31,
ZWE_TX_RPCH,1985-12-31,
ZWE_TX_RPCH,1984-12-31,
ZWE_TX_RPCH,1983-12-31,
ZWE_TX_RPCH,1982-12-31,
ZWE_TX_RPCH,1981-12-31,
ZWE_TX_RPCH,1980-12-31,
ZWE_TXG_RPCH,2028-12-31,7.149
ZWE_TXG_RPCH,2027-12-31,6.479
ZWE_TXG_RPCH,2026-12-31,4.575
ZWE_TXG_RPCH,2025-12-31,1.936
ZWE_TXG_RPCH,2024-12-31,-0.592
ZWE_TXG_RPCH,2023-12-31,-0.878
ZWE_TXG_RPCH,2022-12-31,8.475
ZWE_TXG_RPCH,2021-12-31,21.612
ZWE_TXG_RPCH,2020-12-31,-26.287
ZWE_TXG_RPCH,2019-12-31,-2.964
ZWE_TXG_RPCH,2018-12-31,3.889
ZWE_TXG_RPCH,2017-12-31,-28.202
ZWE_TXG_RPCH,2016-12-31,5.025
ZWE_TXG_RPCH,2015-12-31,3.187
ZWE_TXG_RPCH,2014-12-31,0.932
ZWE_TXG_RPCH,2013-12-31,-0.786
ZWE_TXG_RPCH,2012-12-31,-13.063
ZWE_TXG_RPCH,2011-12-31,27.285
ZWE_TXG_RPCH,2010-12-31,62.127
ZWE_TXG_RPCH,2009-12-31,-6.36
ZWE_TXG_RPCH,2008-12-31,-39.717
ZWE_TXG_RPCH,2007-12-31,-7.859
ZWE_TXG_RPCH,2006-12-31,-2.504
ZWE_TXG_RPCH,2005-12-31,-9.354
ZWE_TXG_RPCH,2004-12-31,-8.323
ZWE_TXG_RPCH,2003-12-31,-19.986
ZWE_TXG_RPCH,2002-12-31,-17.746
ZWE_TXG_RPCH,2001-12-31,5.381
ZWE_TXG_RPCH,2000-12-31,6.054
ZWE_TXG_RPCH,1999-12-31,5.374
ZWE_TXG_RPCH,1998-12-31,-8.953
ZWE_TXG_RPCH,1997-12-31,-1.248
ZWE_TXG_RPCH,1996-12-31,7.172
ZWE_TXG_RPCH,1995-12-31,0.283
ZWE_TXG_RPCH,1994-12-31,11.88
ZWE_TXG_RPCH,1993-12-31,17.779
ZWE_TXG_RPCH,1992-12-31,-8.886
ZWE_TXG_RPCH,1991-12-31,-5.243
ZWE_TXG_RPCH,1990-12-31,-3.62
ZWE_TXG_RPCH,1989-12-31,-4.225
ZWE_TXG_RPCH,1988-12-31,-12.925
ZWE_TXG_RPCH,1987-12-31,1.533
ZWE_TXG_RPCH,1986-12-31,9.2
ZWE_TXG_RPCH,1985-12-31,
ZWE_TXG_RPCH,1984-12-31,
ZWE_TXG_RPCH,1983-12-31,
ZWE_TXG_RPCH,1982-12-31,
ZWE_TXG_RPCH,1981-12-31,
ZWE_TXG_RPCH,1980-12-31,
ZWE_TM_RPCH,2028-12-31,
ZWE_TM_RPCH,2027-12-31,
ZWE_TM_RPCH,2026-12-31,
ZWE_TM_RPCH,2025-12-31,
ZWE_TM_RPCH,2024-12-31,
ZWE_TM_RPCH,2023-12-31,
ZWE_TM_RPCH,2022-12-31,
ZWE_TM_RPCH,2021-12-31,
ZWE_TM_RPCH,2020-12-31,
ZWE_TM_RPCH,2019-12-31,
ZWE_TM_RPCH,2018-12-31,
ZWE_TM_RPCH,2017-12-31,
ZWE_TM_RPCH,2016-12-31,
ZWE_TM_RPCH,2015-12-31,
ZWE_TM_RPCH,2014-12-31,
ZWE_TM_RPCH,2013-12-31,
ZWE_TM_RPCH,2012-12-31,
ZWE_TM_RPCH,2011-12-31,
ZWE_TM_RPCH,2010-12-31,
ZWE_TM_RPCH,2009-12-31,
ZWE_TM_RPCH,2008-12-31,
ZWE_TM_RPCH,2007-12-31,
ZWE_TM_RPCH,2006-12-31,
ZWE_TM_RPCH,2005-12-31,
ZWE_TM_RPCH,2004-12-31,
ZWE_TM_RPCH,2003-12-31,
ZWE_TM_RPCH,2002-12-31,
ZWE_TM_RPCH,2001-12-31,
ZWE_TM_RPCH,2000-12-31,
ZWE_TM_RPCH,1999-12-31,
ZWE_TM_RPCH,1998-12-31,
ZWE_TM_RPCH,1997-12-31,
ZWE_TM_RPCH,1996-12-31,
ZWE_TM_RPCH,1995-12-31,
ZWE_TM_RPCH,1994-12-31,
ZWE_TM_RPCH,1993-12-31,
ZWE_TM_RPCH,1992-12-31,
ZWE_TM_RPCH,1991-12-31,
ZWE_TM_RPCH,1990-12-31,
