Price,Close,High,Low,Open,Volume
Ticker,BMA.BA,BMA.BA,BMA.BA,BMA.BA,BMA.BA
Date,,,,,
2004-01-01,1.9989867210388184,1.9989867210388184,1.9989867210388184,1.9989867210388184,0
2004-01-02,2.040062189102173,2.0537538685014334,2.005832990604021,2.040062189102173,1054000
2004-01-05,2.040062189102173,2.040062189102173,2.040062189102173,2.040062189102173,0
2004-01-06,2.135903835296631,2.1495956772110105,2.0605996024648086,2.135903835296631,1126000
2004-01-07,2.1290578842163086,2.1427497254121466,2.0948286892709036,2.1290578842163086,1190000
2004-01-08,2.1290578842163086,2.1495955644012277,2.0879828502818225,2.1290578842163086,622210
2004-01-09,2.197516679763794,2.2043625195081358,2.122212279358338,2.197516679763794,2050000
2004-01-12,2.1838250160217285,2.21805421499025,2.156441656846911,2.1838250160217285,1125000
2004-01-13,2.204362154006958,2.224899669834697,2.176978799569973,2.204362154006958,1685000
2004-01-14,2.190670967102051,2.245437688233848,2.1701334466776268,2.190670967102051,1187000
2004-01-15,2.204362154006958,2.2112079926162043,2.1701329609607267,2.204362154006958,860198
2004-01-16,2.2454378604888916,2.2522837011555334,2.1838252944891132,2.2454378604888916,960086
2004-01-19,2.300203800201416,2.300203800201416,2.2248995785880528,2.300203800201416,1177000
2004-01-20,2.300203800201416,2.3275873167330268,2.2796662852159533,2.300203800201416,1326000
2004-01-21,2.2454378604888916,2.3138964303730276,2.2180544978223233,2.2454378604888916,724987
2004-01-22,2.224900245666504,2.2865128090958162,2.2112085649044344,2.224900245666504,889053
2004-01-23,2.135903835296631,2.2317457493911803,2.094828799206546,2.135903835296631,1016000
2004-01-26,2.224900245666504,2.224900245666504,2.0879832748281,2.224900245666504,767344
2004-01-27,2.224900245666504,2.2454377668096077,2.2043627245233997,2.224900245666504,864047
2004-01-28,2.170133352279663,2.22490007102918,2.170133352279663,2.170133352279663,855634
2004-01-29,2.0948288440704346,2.156441562742775,2.0605996465956276,2.0948288440704346,786674
2004-01-30,2.0948288440704346,2.108520523060357,2.0332162886157823,2.0948288440704346,1122000
2004-02-02,2.0674452781677246,2.108520311006579,2.046907761748298,2.0674452781677246,446428
2004-02-03,2.101674795150757,2.1085206350091883,2.0879831154338944,2.101674795150757,963772
2004-02-04,2.0674452781677246,2.1153661498130547,2.060599439361249,2.0674452781677246,963572
2004-02-05,1.9373749494552612,2.053754418747283,1.9305291079214797,1.9373749494552612,1191000
2004-02-06,1.8278409242630005,1.9168368369045354,1.7867657244415285,1.8278409242630005,3672000
2004-02-09,1.9099911451339722,1.9168369850971956,1.8552244254281864,1.9099911451339724,1016000
2004-02-10,1.766228199005127,1.896299310942724,1.7183073231609491,1.766228199005127,3304000
2004-02-11,1.7593826055526733,1.800457810950357,1.7183075633726987,1.7593826055526733,1868000
2004-02-12,1.841532826423645,1.8552245069517408,1.7799201008295078,1.841532826423645,1733000
2004-02-13,1.90314519405365,1.9236827127442153,1.8757618357995627,1.90314519405365,1993000
2004-02-16,1.9579119682312012,1.964757807996364,1.9031452501098989,1.9579119682312012,1038000
2004-02-17,1.9168369770050049,1.9784496996316066,1.9099911370706821,1.9168369770050047,772096
2004-02-18,2.0058329105377197,2.033216268243187,1.903145155924531,2.0058329105377197,5742000
2004-02-19,1.9921412467956543,2.040062123143709,1.9852954073173608,1.9921412467956543,2310000
2004-02-20,1.9921412467956543,1.9921412467956543,1.9921412467956543,1.9921412467956543,0
2004-02-23,2.224900245666504,2.224900245666504,2.0811374344470654,2.224900245666504,3324000
2004-02-24,2.238591432571411,2.2454372714421806,2.1769788827344847,2.238591432571411,3813000
2004-02-25,2.190670967102051,2.245437688233848,2.176979286819101,2.190670967102051,1265000
2004-02-26,2.224900245666504,2.2454377668096077,2.170133522618226,2.224900245666504,1025000
2004-02-27,2.238591432571411,2.238591432571411,2.204362238217563,2.238591432571411,504796
2004-03-01,2.2522830963134766,2.2659747739699125,2.197516385687732,2.2385914186570406,7792570000000
2004-03-02,2.2454378604888916,2.2522837011555334,2.2249003384889656,2.2522837011555334,6201050000000
2004-03-03,2.224900245666504,2.2385919264285734,2.2112085649044344,2.2317460860475387,427762
2004-03-04,2.190670967102051,2.2180543276679496,2.163287606536152,2.190670967102051,955933
2004-03-05,2.108520746231079,2.1564417909855713,2.108520746231079,2.1427501105464892,2839255
2004-03-08,2.108520746231079,2.1222124266701607,2.0605998646942925,2.0605998646942925,2111294
2004-03-09,2.2522830963134766,2.2522830963134766,2.1290578341878796,2.142749675061988,3591989
2004-03-10,2.327587604522705,2.3412792828725593,2.2522832103808277,2.265974888730682,4344240
2004-03-11,2.3344337940216064,2.3344337940216064,2.2933585895902873,2.2933585895902873,1497279
2004-03-12,2.4097375869750977,2.4097375869750977,2.313895842012066,2.3275875198639273,2140264
2004-03-15,2.3686630725860596,2.4781965194086313,2.334433870454006,2.4234297959973454,2475659
2004-03-16,2.389200210571289,2.42342940721203,2.3618168532586963,2.3618168532586963,964026
2004-03-17,2.416583776473999,2.437121296231162,2.4097379365549445,2.4097379365549445,1362199
2004-03-18,2.4302756786346436,2.4439673597252725,2.3823547948174415,2.4439673597252725,1389409
2004-03-19,2.4918878078460693,2.498733646746017,2.3960459000291277,2.4439667723287615,1808559
2004-03-22,2.457658529281616,2.526117083703588,2.430275172799899,2.5055795663423,827780
2004-03-23,2.4439666271209717,2.4781958195869898,2.4165832731481576,2.457658304107379,464209
2004-03-24,2.4028916358947754,2.43712082892679,2.3891999586819694,2.43712082892679,298257
2004-03-25,2.4028916358947754,2.423429151713984,2.3891999586819694,2.416583313107581,323801
2004-03-26,2.348125457763672,2.396046338839505,2.348125457763672,2.396046338839505,670391
2004-03-29,2.2728207111358643,2.3481251047221168,2.2317456763893695,2.3481251047221168,1267511
2004-03-30,2.293358564376831,2.34127960848357,2.272821043995816,2.272821043995816,783214
2004-03-31,2.300203800201416,2.3481248317184895,2.300203800201416,2.3070496385299037,814176
2004-04-01,2.320741653442383,2.3344333311320287,2.31389581459756,2.31389581459756,478772
2004-04-02,2.320741653442383,2.3481250088216745,2.3070498125350647,2.3481250088216745,410200
2004-04-05,2.320741653442383,2.320741653442383,2.320741653442383,2.320741653442383,0
2004-04-06,2.320741653442383,2.3344333311320287,2.3002039736902415,2.320741653442383,400102
2004-04-07,2.259129524230957,2.3070504085243044,2.2454378430042863,2.3070504085243044,351479
2004-04-08,2.259129524230957,2.259129524230957,2.259129524230957,2.259129524230957,0
2004-04-09,2.259129524230957,2.259129524230957,2.259129524230957,2.259129524230957,0
2004-04-12,2.2796671390533447,2.2796671390533447,2.2454379345905373,2.2659754572682216,728036
2004-04-13,2.348125457763672,2.348125457763672,2.2796668930090638,2.2796668930090638,1285133
2004-04-14,2.348125457763672,2.382354658532124,2.3412796176099815,2.348125457763672,728111
2004-04-15,2.348125457763672,2.368662978224743,2.3138962569952195,2.3275879373026007,656579
2004-04-16,2.3138959407806396,2.3549709760895112,2.3138959407806396,2.3549709760895112,1254588
2004-04-19,2.2522830963134766,2.3412791642979833,2.2385914186570406,2.320741647813329,792162
2004-04-20,2.190670967102051,2.2796668889412217,2.183825126960576,2.2591293685167977,1165561
2004-04-21,2.135903835296631,2.197516552649443,2.108520477903241,2.1906707133010954,1447373
2004-04-22,2.1769790649414062,2.204362422716393,2.1359038650612385,2.163287386053913,1723901
2004-04-23,2.1769790649414062,2.1769790649414062,2.1769790649414062,2.1769790649414062,0
2004-04-26,2.259129524230957,2.32074225296869,2.2454378430042863,2.265975364844292,743845
2004-04-27,2.259129524230957,2.3070504085243044,2.2454378430042863,2.272821205457628,339275
2004-04-28,2.2728207111358643,2.2728207111358643,2.2385915155137854,2.2385915155137854,412899
2004-04-29,2.238591432571411,2.31389582336755,2.224899754829872,2.293358143537568,648058
2004-04-30,2.197516679763794,2.238591718229846,2.18382500027511,2.238591718229846,384007
2004-05-03,2.1838250160217285,2.1906708558154326,2.122212294660694,2.1906708558154326,927211
2004-05-04,2.1838250160217285,2.2385917343713633,2.1838250160217285,2.1838250160217285,426878
2004-05-05,2.204362154006958,2.2112079926162043,2.176978799569973,2.2112079926162043,216516
2004-05-06,2.1495957374572754,2.1906707746985616,2.115366376538514,2.1701332560779183,1301498
2004-05-07,2.012678861618042,2.1085206189040275,1.9716038227811912,2.1085206189040275,1743696
2004-05-10,1.8346866369247437,1.9579117382215558,1.8141491200419417,1.9305283823778199,2284048
2004-05-11,1.8894532918930054,1.937374163181014,1.8689157756267158,1.8757616143821456,1045951
2004-05-12,1.8689161539077759,1.8689161539077759,1.7730742287150447,1.8689161539077759,1473430
2004-05-13,1.766228199005127,1.9373743473805907,1.766228199005127,1.8689159533174795,1212134
2004-05-14,1.7388452291488647,1.77992027474662,1.6772326607522319,1.77992027474662,1444548
2004-05-17,1.7388452291488647,1.77992027474662,1.6772326607522319,1.7388452291488647,20000
2004-05-18,1.7388452291488647,1.77992027474662,1.6772326607522319,1.7388452291488647,9000
