Price,Close,High,Low,Open,Volume
Ticker,^MERV,^MERV,^MERV,^MERV,^MERV
Date,,,,,
2004-01-02,1102.0,1109.0,1073.0,1073.0,0
2004-01-05,1145.0,1145.0,1102.0,1102.0,0
2004-01-06,1159.0,1162.0,1137.0,1145.0,0
2004-01-07,1163.0,1170.0,1147.0,1159.0,0
2004-01-08,1158.0,1169.0,1150.0,1162.0,0
2004-01-09,1195.0,1199.0,1156.0,1158.0,0
2004-01-12,1175.0,1195.0,1170.0,1195.0,0
2004-01-13,1206.0,1218.0,1173.0,1175.0,0
2004-01-14,1202.0,1225.0,1193.0,1206.0,0
2004-01-15,1203.0,1205.0,1184.0,1202.0,0
2004-01-16,1208.0,1216.0,1186.0,1200.0,0
2004-01-19,1247.0,1254.0,1199.0,1208.0,0
2004-01-20,1260.0,1268.0,1242.0,1248.0,0
2004-01-21,1224.0,1264.0,1221.0,1261.0,0
2004-01-22,1211.0,1234.0,1205.0,1222.0,0
2004-01-23,1164.0,1215.0,1153.0,1211.0,0
2004-01-26,1198.0,1199.0,1133.0,1163.0,0
2004-01-27,1203.0,1218.0,1200.0,1200.0,0
2004-01-28,1182.0,1208.0,1179.0,1204.0,0
2004-01-29,1145.0,1182.0,1134.0,1182.0,0
2004-01-30,1141.0,1154.0,1122.0,1145.0,0
2004-02-02,1130.0,1146.0,1121.0,1141.0,0
2004-02-03,1157.0,1157.0,1133.0,1133.0,0
2004-02-04,1134.0,1166.0,1131.0,1159.0,0
2004-02-05,1084.0,1133.0,1081.0,1133.0,0
2004-02-06,1053.0,1083.0,1042.0,1083.0,0
2004-02-09,1093.0,1094.0,1053.0,1053.0,0
2004-02-10,1007.0,1092.0,997.0,1092.0,0
2004-02-11,1030.0,1038.0,1007.0,1009.0,0
2004-02-12,1071.0,1077.0,1031.0,1031.0,0
2004-02-13,1090.0,1107.0,1072.0,1072.0,0
2004-02-16,1120.0,1123.0,1089.0,1089.0,0
2004-02-17,1109.0,1131.0,1107.0,1117.0,0
2004-02-18,1128.0,1131.0,1104.0,1109.0,0
2004-02-19,1123.0,1138.0,1121.0,1128.0,0
2004-02-20,1146.0,1146.0,1115.0,1123.0,0
2004-02-23,1199.0,1199.0,1147.0,1147.0,0
2004-02-24,1204.0,1211.0,1188.0,1200.0,0
2004-02-25,1178.0,1206.0,1177.0,1202.0,0
2004-02-26,1193.0,1197.0,1172.0,1178.0,0
2004-02-27,1183.0,1193.0,1177.0,1191.0,0
2004-03-01,1211.0,1211.0,1179.0,1183.0,0
2004-03-02,1214.0,1222.0,1210.0,1211.0,0
2004-03-03,1203.0,1217.0,1199.0,1212.0,0
2004-03-04,1190.0,1203.0,1181.0,1203.0,0
2004-03-05,1158.0,1184.0,1152.0,1184.0,0
2004-03-08,1150.0,1163.0,1129.0,1157.0,0
2004-03-09,1218.0,1219.0,1152.0,1152.0,0
2004-03-10,1240.0,1249.0,1214.0,1225.0,0
2004-03-11,1237.0,1247.0,1224.0,1237.0,0
2004-03-12,1259.0,1260.0,1225.0,1235.0,0
2004-03-15,1235.0,1280.0,1230.0,1259.0,0
2004-03-16,1240.0,1253.0,1235.0,1235.0,0
2004-03-17,1255.0,1265.0,1241.0,1241.0,0
2004-03-18,1255.0,1259.0,1243.0,1255.0,0
2004-03-19,1275.0,1278.0,1251.0,1256.0,0
2004-03-22,1259.0,1294.0,1253.0,1275.0,0
2004-03-23,1257.0,1265.0,1244.0,1259.0,0
2004-03-24,1240.0,1258.0,1239.0,1257.0,0
2004-03-25,1243.0,1247.0,1236.0,1241.0,0
2004-03-26,1211.0,1244.0,1211.0,1244.0,0
2004-03-29,1185.0,1211.0,1179.0,1210.0,0
2004-03-30,1198.0,1207.0,1184.0,1184.0,0
2004-03-31,1202.0,1213.0,1197.0,1199.0,0
2004-04-01,1211.0,1218.0,1202.0,1202.0,0
2004-04-02,1198.0,1221.0,1197.0,1212.0,0
2004-04-06,1191.0,1203.0,1187.0,1198.0,0
2004-04-07,1182.0,1191.0,1169.0,1191.0,0
2004-04-12,1178.0,1185.0,1169.0,1182.0,0
2004-04-13,1203.0,1203.0,1178.0,1178.0,0
2004-04-14,1192.0,1205.0,1190.0,1201.0,0
2004-04-15,1176.0,1192.0,1171.0,1192.0,0
2004-04-16,1163.0,1176.0,1161.0,1176.0,0
2004-04-19,1131.0,1170.0,1127.0,1164.0,0
2004-04-20,1109.0,1142.0,1103.0,1132.0,0
2004-04-21,1085.0,1110.0,1078.0,1108.0,0
2004-04-22,1092.0,1105.0,1085.0,1086.0,0
2004-04-23,1143.0,1143.0,1075.0,1092.0,0
2004-04-26,1154.0,1166.0,1137.0,1144.0,0
2004-04-27,1138.0,1157.0,1133.0,1152.0,0
2004-04-28,1133.0,1142.0,1125.0,1138.0,0
2004-04-29,1104.0,1134.0,1099.0,1131.0,0
2004-04-30,1078.0,1108.0,1074.0,1107.0,0
2004-05-03,1074.0,1078.0,1049.0,1078.0,0
2004-05-04,1078.0,1096.0,1074.0,1074.0,0
2004-05-05,1083.0,1087.0,1076.0,1081.0,0
2004-05-06,1055.0,1083.0,1050.0,1082.0,0
2004-05-07,1006.0,1055.0,991.0,1055.0,0
2004-05-10,922.0,1006.0,920.0,1006.0,0
2004-05-11,956.0,970.0,941.0,956.0,0
2004-05-12,940.0,956.0,903.0,956.0,0
2004-05-13,914.0,956.0,913.0,940.0,0
2004-05-14,900.0,919.0,884.0,914.0,0
