Price,Close,High,Low,Open,Volume
Ticker,^BVSP,^BVSP,^BVSP,^BVSP,^BVSP
Date,,,,,
2004-01-02,22445.0,22450.0,22208.0,22233.0,0
2004-01-05,23532.0,23532.0,22445.0,22445.0,0
2004-01-06,23576.0,23976.0,23180.0,23532.0,0
2004-01-07,23320.0,23899.0,23320.0,23576.0,0
2004-01-08,23717.0,23718.0,23122.0,23334.0,0
2004-01-09,23917.0,24088.0,23710.0,23722.0,0
2004-01-12,24237.0,24323.0,23892.0,23896.0,0
2004-01-13,23940.0,24518.0,23867.0,24237.0,0
2004-01-14,23399.0,24010.0,22878.0,23947.0,0
2004-01-15,22962.0,23400.0,22962.0,23400.0,0
2004-01-16,23155.0,23243.0,22687.0,22964.0,0
2004-01-19,23385.0,23493.0,23090.0,23162.0,0
2004-01-20,23679.0,23724.0,23382.0,23382.0,0
2004-01-21,23302.0,23680.0,23213.0,23680.0,0
2004-01-22,22969.0,23299.0,22682.0,23299.0,0
2004-01-23,23471.0,23515.0,22740.0,22969.0,0
2004-01-26,24350.0,24350.0,23471.0,23471.0,0
2004-01-27,24226.0,24473.0,23908.0,24355.0,0
2004-01-28,23852.0,24460.0,23787.0,24226.0,0
2004-01-29,22386.0,23859.0,22300.0,23849.0,0
2004-01-30,21851.0,22615.0,21649.0,22384.0,0
2004-02-02,21787.0,21867.0,21336.0,21842.0,0
2004-02-03,22281.0,22287.0,21794.0,21794.0,0
2004-02-04,21685.0,22718.0,21555.0,22289.0,0
2004-02-05,21092.0,21909.0,21077.0,21685.0,0
2004-02-06,21969.0,21969.0,20598.0,21092.0,0
2004-02-09,21962.0,22493.0,21853.0,21970.0,0
2004-02-10,22171.0,22216.0,21694.0,21936.0,0
2004-02-11,23197.0,23241.0,22057.0,22173.0,0
2004-02-12,23063.0,23374.0,22929.0,23197.0,0
2004-02-13,22530.0,23230.0,22188.0,23067.0,0
2004-02-16,22189.0,22530.0,21901.0,22530.0,0
2004-02-17,22426.0,22520.0,22017.0,22195.0,0
2004-02-18,22000.0,22668.0,21899.0,22430.0,0
2004-02-19,20951.0,21998.0,20877.0,21998.0,0
2004-02-20,21337.0,21342.0,20092.0,20949.0,0
2004-02-25,21609.0,21732.0,21341.0,21341.0,0
2004-02-26,21450.0,21608.0,21180.0,21608.0,0
2004-02-27,21755.0,21755.0,21448.0,21455.0,0
2004-03-01,22499.0,22528.0,21761.0,21761.0,0
2004-03-02,22442.0,22714.0,21942.0,22496.0,0
2004-03-03,22550.0,22801.0,22191.0,22442.0,0
2004-03-04,22393.0,22753.0,22256.0,22542.0,0
2004-03-05,22873.0,22937.0,22349.0,22397.0,0
2004-03-08,22993.0,23373.0,22874.0,22874.0,0
2004-03-09,22674.0,23094.0,22503.0,22993.0,0
2004-03-10,21670.0,22674.0,21670.0,22674.0,0
2004-03-11,20763.0,21750.0,20756.0,21673.0,0
2004-03-12,21776.0,21800.0,20770.0,20770.0,0
2004-03-15,21234.0,21836.0,21162.0,21776.0,0
2004-03-16,21613.0,21647.0,21234.0,21234.0,0
2004-03-17,21901.0,22034.0,21620.0,21620.0,0
2004-03-18,22370.0,22411.0,21679.0,21901.0,0
2004-03-19,22261.0,22470.0,22217.0,22370.0,0
2004-03-22,21663.0,22248.0,21569.0,22248.0,0
2004-03-23,21205.0,21832.0,21205.0,21663.0,0
2004-03-24,20985.0,21317.0,20834.0,21202.0,0
2004-03-25,21000.0,21323.0,20857.0,20985.0,0
2004-03-26,21541.0,21651.0,21001.0,21001.0,0
2004-03-29,21531.0,21817.0,21435.0,21544.0,0
2004-03-30,22043.0,22045.0,21531.0,21531.0,0
2004-03-31,22142.0,22256.0,21873.0,22042.0,0
2004-04-01,22647.0,22769.0,22142.0,22142.0,0
2004-04-02,22949.0,23034.0,22629.0,22650.0,0
2004-04-05,23146.0,23260.0,22773.0,22949.0,0
2004-04-06,23072.0,23179.0,22859.0,23146.0,0
2004-04-07,22443.0,23061.0,22443.0,23061.0,0
2004-04-08,22725.0,22740.0,22307.0,22451.0,0
2004-04-12,22780.0,22970.0,22496.0,22725.0,0
2004-04-13,22620.0,22995.0,22555.0,22777.0,0
2004-04-14,22312.0,22618.0,22165.0,22618.0,0
2004-04-15,21739.0,22312.0,21483.0,22312.0,0
2004-04-16,21769.0,21938.0,21592.0,21727.0,0
2004-04-19,21627.0,21864.0,21417.0,21773.0,0
2004-04-20,21078.0,21665.0,21068.0,21627.0,0
2004-04-22,21142.0,21182.0,20732.0,21078.0,0
2004-04-23,21590.0,21625.0,21142.0,21142.0,0
2004-04-26,21324.0,21778.0,21286.0,21588.0,0
2004-04-27,21317.0,21715.0,21254.0,21324.0,0
2004-04-28,20474.0,21374.0,20474.0,21317.0,0
2004-04-29,19865.0,20756.0,19676.0,20481.0,0
2004-04-30,19607.0,20172.0,19508.0,19871.0,0
2004-05-03,19709.0,19777.0,19086.0,19622.0,0
2004-05-04,19988.0,20195.0,19709.0,19709.0,0
2004-05-05,20026.0,20342.0,19835.0,20013.0,0
2004-05-06,19190.0,20019.0,19189.0,20019.0,0
2004-05-07,18620.0,19184.0,18573.0,19184.0,0
2004-05-10,17604.0,18616.0,17601.0,18616.0,0
2004-05-11,18537.0,18583.0,17607.0,17607.0,0
2004-05-12,18326.0,18745.0,17885.0,18543.0,0
2004-05-13,18402.0,18619.0,17902.0,18326.0,0
2004-05-14,18611.0,18952.0,18421.0,18421.0,0
2004-05-17,18122.0,18609.0,17973.0,18609.0,0
2004-05-18,18556.0,18610.0,18125.0,18125.0,0
2004-05-19,18688.0,19120.0,18602.0,18602.0,0
2004-05-20,18240.0,18688.0,18229.0,18688.0,0
2004-05-21,18285.0,18387.0,18041.0,18239.0,0
2004-05-24,18669.0,18670.0,18288.0,18288.0,0
2004-05-25,18860.0,18869.0,18590.0,18675.0,0
2004-05-26,19069.0,19079.0,18737.0,18860.0,0
2004-05-27,19734.0,19763.0,19061.0,19069.0,0
2004-05-28,19667.0,19991.0,19580.0,19734.0,0
2004-05-31,19545.0,19769.0,19421.0,19672.0,0
2004-06-01,19546.0,19613.0,19177.0,19545.0,0
2004-06-02,19717.0,19923.0,19553.0,19553.0,0
2004-06-03,19400.0,19776.0,19332.0,19723.0,0
2004-06-04,19819.0,19902.0,19404.0,19404.0,0
2004-06-07,20447.0,20487.0,19826.0,19826.0,0
2004-06-08,20284.0,20529.0,20159.0,20447.0,0
2004-06-09,19865.0,20298.0,19797.0,20269.0,0
2004-06-11,19834.0,19979.0,19789.0,19865.0,0
2004-06-14,19488.0,19833.0,19371.0,19833.0,0
2004-06-15,20047.0,20047.0,19496.0,19496.0,0
2004-06-16,20460.0,20514.0,20006.0,20050.0,0
2004-06-17,20335.0,20697.0,20203.0,20460.0,0
2004-06-18,20333.0,20455.0,20076.0,20330.0,0
2004-06-21,20293.0,20654.0,20274.0,20336.0,0
2004-06-22,20199.0,20360.0,20070.0,20293.0,0
2004-06-23,20836.0,20836.0,20199.0,20199.0,0
2004-06-24,20708.0,21068.0,20681.0,20837.0,0
2004-06-25,20750.0,20940.0,20669.0,20708.0,0
2004-06-28,20351.0,20892.0,20351.0,20750.0,0
2004-06-29,20801.0,20833.0,20352.0,20352.0,0
2004-06-30,21149.0,21183.0,20733.0,20809.0,0
2004-07-01,21349.0,21394.0,21094.0,21152.0,0
2004-07-02,21568.0,21747.0,21349.0,21349.0,0
2004-07-05,21670.0,21775.0,21429.0,21565.0,0
2004-07-06,21188.0,21669.0,21124.0,21669.0,0
2004-07-07,21171.0,21364.0,21118.0,21190.0,0
2004-07-08,20887.0,21167.0,20821.0,21167.0,0
2004-07-12,21532.0,21561.0,20885.0,20885.0,0
2004-07-13,21677.0,21759.0,21456.0,21533.0,0
2004-07-14,21673.0,22090.0,21373.0,21676.0,0
2004-07-15,22065.0,22198.0,21679.0,21679.0,0
2004-07-16,22447.0,22676.0,22064.0,22064.0,0
2004-07-19,22102.0,22518.0,22045.0,22445.0,0
2004-07-20,22361.0,22426.0,22046.0,22115.0,0
2004-07-21,21810.0,22516.0,21776.0,22362.0,0
2004-07-22,21730.0,21938.0,21490.0,21821.0,0
2004-07-23,21591.0,22100.0,21559.0,21729.0,0
2004-07-26,21318.0,21930.0,21056.0,21635.0,0
2004-07-27,21737.0,21813.0,21236.0,21325.0,0
2004-07-28,22168.0,22213.0,21613.0,21740.0,0
2004-07-29,22228.0,22366.0,22019.0,22169.0,0
2004-07-30,22337.0,22534.0,22111.0,22224.0,0
2004-08-02,22448.0,22493.0,21929.0,22342.0,0
2004-08-03,22373.0,22600.0,22340.0,22453.0,0
2004-08-04,22178.0,22523.0,22159.0,22370.0,0
2004-08-05,21330.0,22244.0,21178.0,22174.0,0
2004-08-06,21653.0,21702.0,21194.0,21341.0,0
2004-08-09,21261.0,21745.0,21243.0,21653.0,0
2004-08-10,21737.0,21737.0,21261.0,21261.0,0
2004-08-11,21570.0,21736.0,21411.0,21736.0,0
2004-08-12,21570.0,21723.0,21484.0,21574.0,0
2004-08-13,21401.0,21706.0,21307.0,21570.0,0
2004-08-16,21764.0,21829.0,21361.0,21404.0,0
2004-08-17,22061.0,22159.0,21767.0,21767.0,0
2004-08-18,22779.0,22779.0,21898.0,22059.0,0
2004-08-19,22935.0,23285.0,22772.0,22779.0,0
2004-08-20,23196.0,23381.0,22919.0,22935.0,0
2004-08-23,22852.0,23241.0,22773.0,23205.0,0
2004-08-24,22870.0,23111.0,22743.0,22863.0,0
2004-08-25,23058.0,23166.0,22745.0,22870.0,0
2004-08-26,22582.0,23047.0,22479.0,23047.0,0
2004-08-27,22597.0,22801.0,22504.0,22583.0,0
2004-08-30,22869.0,22869.0,22316.0,22600.0,0
2004-08-31,22803.0,23071.0,22685.0,22886.0,0
2004-09-01,22513.0,22971.0,22363.0,22803.0,0
2004-09-02,22688.0,22768.0,22267.0,22516.0,0
2004-09-03,22415.0,22769.0,22378.0,22688.0,0
2004-09-06,22502.0,22537.0,22416.0,22416.0,0
2004-09-08,22534.0,22977.0,22508.0,22508.0,0
2004-09-09,22286.0,22622.0,22071.0,22536.0,0
2004-09-10,21968.0,22299.0,21846.0,22276.0,0
2004-09-13,21809.0,22226.0,21739.0,21970.0,0
2004-09-14,22309.0,22348.0,21741.0,21810.0,0
2004-09-15,22344.0,22577.0,22213.0,22310.0,0
2004-09-16,22876.0,22897.0,22346.0,22346.0,0
2004-09-17,23074.0,23190.0,22876.0,22876.0,0
2004-09-20,23078.0,23485.0,23078.0,23079.0,0
2004-09-21,23106.0,23268.0,22916.0,23078.0,0
2004-09-22,22749.0,23207.0,22697.0,23106.0,0
2004-09-23,22944.0,23006.0,22749.0,22749.0,0
