Price,Close,High,Low,Open,Volume
Ticker,RY.TO,RY.TO,RY.TO,RY.TO,RY.TO
Date,,,,,
2004-01-02,13.668310165405273,13.868312745234217,13.593583880721605,13.593583880721605,1938000
2004-01-05,13.692488670349121,13.786995482210582,13.68149968165953,13.725456474823991,3762800
2004-01-06,13.69029712677002,13.729858173881055,13.648537777927004,13.723264107091579,4398600
2004-01-07,13.60457992553711,13.718866447624679,13.573809574383626,13.681503707404962,3186800
2004-01-08,13.573811531066895,13.646340397345726,13.48150297951907,13.604581886655966,6947400
2004-01-09,13.496888160705566,13.62656030032557,13.485899166854344,13.518866148408012,6743200
2004-01-12,13.560626029968262,13.630956599458655,13.494691225871833,13.505680220153485,3992000
2004-01-13,13.516671180725098,13.672717102081728,13.496890652778015,13.591397526480005,3453800
2004-01-14,13.518871307373047,13.622169733488748,13.518871307373047,13.571619671757416,3479400
2004-01-15,13.60457992553711,13.712273220152102,13.536446834163911,13.578205338834124,3343400
2004-01-16,13.7320556640625,13.736451429128596,13.58699877050716,13.626559817695567,4205200
2004-01-19,13.819974899291992,13.89030549208987,13.736457005941961,13.736457005941961,2675200
2004-01-20,13.857324600219727,13.936446652151275,13.811170349394994,13.857324600219727,3697600
2004-01-21,13.879310607910156,13.912277587698943,13.824364803189065,13.863925849660765,6069600
2004-01-22,13.990002632141113,13.994430650226867,13.870449522058149,13.947937727163598,3133800
2004-01-23,13.994438171386719,14.056429613345804,13.959014852220905,13.981154954548632,3226400
2004-01-26,14.021005630493164,14.034288846702488,13.901451617258196,14.003293549469387,1701800
2004-01-27,13.99665641784668,14.034293335221673,13.92580976021005,14.014367659976447,2251400
2004-01-28,13.998860359191895,14.136125558197714,13.956795449133487,14.025427626357299,3094200
2004-01-29,13.928016662597656,14.102919634170066,13.923588643051199,13.965654406463361,3602800
2004-01-30,13.990002632141113,13.990002632141113,13.899230372778405,13.959007350098934,1430400
2004-02-02,14.058639526367188,14.113988500880444,13.939085538724553,13.994434513237811,2305200
2004-02-03,14.047572135925293,14.19147898582629,14.003292780356347,14.003292780356347,4216200
2004-02-04,13.956798553466797,14.080779724187261,13.939086475044796,14.00329149248697,1821200
2004-02-05,14.014360427856445,14.05421175778159,13.959011452355782,14.036500524791716,3160000
2004-02-06,14.032073020935059,14.102919644614106,13.899234968118066,13.96565441680575,3130400
2004-02-09,14.096277236938477,14.136128568451925,14.038714671729258,14.045356278795374,1914600
2004-02-10,14.113993644714355,14.160486597555813,14.06307267095105,14.06307267095105,1877400
2004-02-11,14.102921485900879,14.275610892653576,14.102921485900879,14.158270470661433,3024200
2004-02-12,14.049788475036621,14.213621024799211,14.045360454156736,14.105137469197237,4731600
2004-02-13,14.080778121948242,14.116201430203072,14.058638870998331,14.058638870998331,725800
2004-02-16,14.189262390136719,14.189262390136719,14.00771866464467,14.069709246254556,973600
2004-02-17,14.213617324829102,14.280036776178985,14.169338816673722,14.193692502894224,1844800
2004-02-18,14.16933822631836,14.273394574176564,14.149412560655264,14.182621440388175,2735400
2004-02-19,14.193681716918945,14.262313859140312,14.180398512389784,14.180398512389784,3885800
2004-02-20,14.147199630737305,14.268966373309507,14.147199630737305,14.268966373309507,1827400
2004-02-23,14.22468376159668,14.235754230053795,14.098488191120708,14.147195549745879,3494200
2004-02-24,14.499217987060547,14.532427712103356,14.224687525665766,14.224687525665766,10278600
2004-02-25,14.280040740966797,14.51250719611782,14.257901480742243,14.435017251655957,4836400
2004-02-26,14.521356582641602,14.523571014641911,14.313245580763564,14.313245580763564,2385600
2004-02-27,14.047572135925293,14.313247424780505,14.005506368083488,14.313247424780505,9126000
2004-03-01,13.854951858520508,14.10291495901306,13.83723978620628,14.05863562278558,4353800
2004-03-02,13.693337440490723,13.859384382022421,13.693337440490723,13.859384382022421,7048000
2004-03-03,13.57156753540039,13.744256899412308,13.54721385300395,13.726544823284614,9345400
2004-03-04,13.671199798583984,13.770828144165531,13.604781183049125,13.62692044004124,10427800
