Price,Close,High,Low,Open,Volume
Ticker,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS
Date,,,,,
2004-01-02,1517.1929931640625,1526.2440185546875,1491.6939697265625,1492.7239990234375,16600
2004-01-05,1568.35302734375,1568.81494140625,1516.697021484375,1516.7969970703125,28600
2004-01-06,1574.52294921875,1589.0830078125,1557.927001953125,1568.8990478515625,32600
2004-01-07,1587.2039794921875,1594.9969482421875,1565.0870361328125,1574.10205078125,30600
2004-01-08,1610.1259765625,1616.5760498046875,1582.8800048828125,1587.4510498046875,28400
2004-01-09,1581.4659423828125,1618.7640380859375,1579.68603515625,1612.3900146484375,32000
2004-01-12,1618.5179443359375,1619.093994140625,1573.77001953125,1579.875,23000
2004-01-13,1612.6829833984375,1627.4859619140625,1596.718017578125,1622.0469970703125,26000
2004-01-14,1592.4229736328125,1613.1529541015625,1585.906005859375,1612.916015625,20600
2004-01-15,1586.4930419921875,1601.4139404296875,1582.3570556640625,1591.8179931640625,18800
2004-01-16,1600.425048828125,1604.7559814453125,1579.240966796875,1589.376953125,20600
2004-01-29,1628.8370361328125,1629.177978515625,1603.31396484375,1605.2469482421875,18400
2004-01-30,1590.72900390625,1634.4129638671875,1589.4010009765625,1631.1099853515625,24000
2004-02-02,1623.8800048828125,1650.291015625,1585.9580078125,1630.654052734375,34600
2004-02-03,1649.281982421875,1650.2359619140625,1615.81298828125,1625.2879638671875,26600
2004-02-04,1685.1590576171875,1685.7650146484375,1652.613037109375,1652.614013671875,32600
2004-02-05,1693.427978515625,1693.9000244140625,1674.623046875,1690.93798828125,32600
2004-02-06,1679.1929931640625,1705.907958984375,1671.39599609375,1690.5589599609375,32600
2004-02-09,1703.529052734375,1703.77197265625,1679.095947265625,1679.5810546875,26200
2004-02-10,1691.009033203125,1715.4639892578125,1683.595947265625,1708.89599609375,27400
2004-02-11,1677.759033203125,1692.9019775390625,1660.009033203125,1691.6080322265625,26600
2004-02-12,1663.83203125,1693.012939453125,1660.31298828125,1679.0810546875,27200
2004-02-13,1658.5389404296875,1672.43896484375,1653.239990234375,1664.60302734375,22600
2004-02-16,1696.8270263671875,1697.260009765625,1661.4520263671875,1661.4520263671875,23000
2004-02-17,1703.7740478515625,1710.8570556640625,1693.9649658203125,1701.4090576171875,29800
2004-02-18,1717.095947265625,1719.887939453125,1697.3170166015625,1704.7449951171875,29200
2004-02-19,1717.0150146484375,1728.02197265625,1710.7130126953125,1719.3089599609375,27400
2004-02-20,1721.751953125,1722.573974609375,1702.928955078125,1715.8060302734375,23400
2004-02-23,1681.654052734375,1730.279052734375,1680.8929443359375,1725.593994140625,28600
2004-02-24,1682.2969970703125,1683.04296875,1650.177001953125,1675.635009765625,27000
2004-02-25,1647.3809814453125,1700.498046875,1642.6910400390625,1684.9019775390625,24600
2004-02-26,1654.89794921875,1655.2950439453125,1628.8399658203125,1642.4090576171875,23200
2004-02-27,1675.0670166015625,1675.322998046875,1657.0389404296875,1657.261962890625,19800
2004-03-01,1689.760009765625,1690.0699462890625,1661.3389892578125,1676.2220458984375,20000
2004-03-02,1687.2779541015625,1694.81494140625,1677.97900390625,1692.615966796875,20600
2004-03-03,1661.81201171875,1688.93505859375,1654.56396484375,1686.9639892578125,19200
2004-03-04,1668.8740234375,1670.156005859375,1642.625,1658.634033203125,17800
2004-03-05,1662.095947265625,1675.0260009765625,1660.2130126953125,1671.06103515625,16000
2004-03-08,1637.14404296875,1665.72802734375,1635.43798828125,1660.6419677734375,15600
2004-03-09,1637.0989990234375,1659.64697265625,1634.7099609375,1636.2060546875,16200
2004-03-10,1678.072998046875,1678.4029541015625,1639.6800537109375,1639.6800537109375,16600
2004-03-11,1691.6429443359375,1698.781005859375,1672.66796875,1680.31298828125,18600
2004-03-12,1694.7430419921875,1699.2490234375,1680.4520263671875,1692.8699951171875,16000
2004-03-15,1736.219970703125,1738.9840087890625,1696.823974609375,1696.9420166015625,25200
2004-03-16,1745.54296875,1747.98095703125,1730.7349853515625,1741.623046875,22200
2004-03-17,1745.0980224609375,1750.7130126953125,1730.2659912109375,1746.739990234375,19000
2004-03-18,1717.260009765625,1755.1009521484375,1714.9000244140625,1746.176025390625,21000
2004-03-19,1747.8719482421875,1748.18701171875,1710.8360595703125,1715.4730224609375,17800
2004-03-22,1755.68505859375,1760.0760498046875,1742.3719482421875,1749.708984375,17600
2004-03-23,1741.6949462890625,1755.33203125,1731.489013671875,1755.321044921875,18400
2004-03-24,1740.053955078125,1752.41796875,1729.510986328125,1740.8900146484375,17800
2004-03-25,1736.47705078125,1751.81298828125,1725.9840087890625,1737.488037109375,16200
2004-03-26,1734.0469970703125,1741.56494140625,1720.8759765625,1737.0579833984375,16400
2004-03-29,1719.6739501953125,1740.3050537109375,1717.864013671875,1734.5899658203125,16400
2004-03-30,1724.2769775390625,1727.177978515625,1711.6639404296875,1718.782958984375,13800
2004-03-31,1741.623046875,1745.7030029296875,1724.2099609375,1726.5689697265625,16200
2004-04-01,1758.14697265625,1758.9820556640625,1741.3299560546875,1744.708984375,18000
2004-04-02,1768.64501953125,1771.6719970703125,1756.6529541015625,1760.467041015625,21200
2004-04-05,1766.4830322265625,1774.1199951171875,1753.7130126953125,1771.737060546875,23800
2004-04-06,1777.5159912109375,1777.7440185546875,1754.740966796875,1767.322021484375,23000
2004-04-07,1774.552001953125,1783.0069580078125,1771.1300048828125,1779.427001953125,22400
2004-04-08,1770.279052734375,1778.094970703125,1765.02197265625,1774.39794921875,22400
2004-04-09,1727.3480224609375,1778.219970703125,1721.5899658203125,1770.9110107421875,24400
2004-04-12,1722.9859619140625,1729.6219482421875,1702.4000244140625,1717.2030029296875,18400
2004-04-13,1715.135986328125,1734.91796875,1710.3909912109375,1724.5780029296875,19200
2004-04-14,1697.156005859375,1716.8199462890625,1678.3360595703125,1714.5260009765625,19600
2004-04-15,1679.0760498046875,1705.0169677734375,1674.9110107421875,1697.2440185546875,15200
2004-04-16,1693.8609619140625,1694.5570068359375,1656.302001953125,1678.9720458984375,17600
2004-04-19,1675.885009765625,1698.6910400390625,1672.35400390625,1695.3330078125,13800
2004-04-20,1669.4219970703125,1682.050048828125,1659.946044921875,1674.363037109375,12800
2004-04-21,1651.5770263671875,1675.3599853515625,1645.0780029296875,1669.3819580078125,15200
2004-04-22,1657.7850341796875,1659.791015625,1637.2900390625,1649.051025390625,12600
2004-04-23,1635.5009765625,1653.989990234375,1632.5589599609375,1653.9439697265625,12200
2004-04-26,1635.4990234375,1644.501953125,1623.0489501953125,1633.26904296875,10200
2004-04-27,1611.8599853515625,1640.6949462890625,1608.81103515625,1636.43798828125,12800
2004-04-28,1606.801025390625,1615.1429443359375,1589.0999755859375,1606.4210205078125,12600
2004-04-29,1579.447021484375,1613.5550537109375,1578.093994140625,1605.302001953125,13400
2004-04-30,1595.5870361328125,1599.56103515625,1572.22998046875,1579.9659423828125,12400
