Price,Close,High,Low,Open,Volume
Ticker,SAN.PA,SAN.PA,SAN.PA,SAN.PA,SAN.PA
Date,,,,,
2004-01-01,26.037742614746094,26.037742614746094,26.037742614746094,26.037742614746094,0
2004-01-02,26.343042373657227,26.386656734845428,25.972320303557524,26.103163387122123,692932
2004-01-05,26.29942512512207,26.495689728921583,26.10316052132256,26.21219641232229,1609286
2004-01-06,25.972322463989258,26.430273294558667,25.885093734356992,26.38665892974253,1642243
2004-01-07,25.86328125,26.21219609700185,25.6670183214042,26.01593149556331,1445392
2004-01-08,25.274490356445312,26.059547127807996,25.078225745393937,25.86328251675662,3352165
2004-01-09,25.012805938720703,25.64521250079225,24.88196285563495,25.49256391003514,2179218
2004-01-12,24.816539764404297,25.121840272539668,24.772925406099244,24.99099719762451,1466747
2004-01-13,24.860157012939453,25.01280728475419,24.6856995594369,24.881964194627272,1464206
2004-01-14,25.165456771850586,25.274492676889686,24.72931315169419,24.72931315169419,2397585
2004-01-15,25.078231811523438,25.470761128574416,25.056424627242826,25.078231811523438,1839801
2004-01-16,25.994125366210938,26.71376226718191,25.10003270754435,25.10003270754435,4875914
2004-01-19,25.95051383972168,26.56111491322141,25.819670752543168,26.059549745703773,2197682
2004-01-20,25.86328125,26.037738673500925,25.645209470623847,25.86328125,1899098
2004-01-21,26.168582916259766,26.38665470542871,25.754246516838773,25.754246516838773,1432038
2004-01-22,27.06267738342285,27.586049712324346,26.691956989960552,26.822800072185927,4276763
2004-01-23,25.18726348876953,26.910029083801444,24.90377014089139,26.386656749257185,7646502
2004-01-26,23.76980209350586,24.751123699500102,23.638958989660868,24.205944100145967,11386261
2004-01-27,23.94425392150879,24.424010183016076,23.59533906016327,23.59533906016327,9767729
2004-01-28,24.227746963500977,24.271359647817196,23.70437467759289,23.70437467759289,5288283
2004-01-29,24.03148651123047,24.402206938335276,24.03148651123047,24.162329605329724,2477620
2004-01-30,24.9473876953125,25.056423612298907,24.118716399058986,24.205943459804953,6369150
2004-02-02,24.511240005493164,25.12184104042788,24.489432825674065,25.012805141332393,1878931
2004-02-03,24.31497573852539,24.620276260405003,24.162327150428492,24.511240359733712,1962818
2004-02-04,24.53304672241211,24.881961592934186,23.92244737184133,24.293169421771033,3306791
2004-02-05,24.990997314453125,25.42714089954255,24.424010653836866,24.62027526712711,3596666
2004-02-06,25.31810760498047,25.383529149466657,25.012807064044924,25.012807064044924,3313818
2004-02-09,24.925575256347656,25.252682938336086,24.62027475315846,25.252682938336086,1897366
2004-02-10,24.860157012939453,25.034614466442008,24.511242105934347,25.034614466442008,1390050
2004-02-11,24.66389274597168,24.94738611214578,24.402206561810974,24.903771748118995,1886710
2004-02-12,24.249555587768555,24.794733411915274,23.92244788957479,24.77292623203569,2520599
2004-02-13,24.140518188476562,24.35858997372321,24.075096652902566,24.118711009951898,1364886
2004-02-16,24.118717193603516,24.51124483484248,23.944259720678104,24.424016098379774,1259985
2004-02-17,24.293174743652344,24.314980254994033,23.987874165063637,24.14052445435799,2241707
2004-02-18,24.249555587768555,24.46762571372151,24.140519688370635,24.249555587768555,1756376
2004-02-19,24.838346481323242,24.881960838816646,24.3585902217386,24.424010085135905,2369210
2004-02-20,24.33677864074707,24.86015087197103,24.1187085505797,24.86015087197103,1645672
2004-02-23,24.424013137817383,24.64208495254052,24.22775017740957,24.554856226651268,800794
2004-02-24,23.81340789794922,24.489428685202295,23.68256484115651,24.42400715680594,2770933
2004-02-25,23.85702133178711,23.922442857664926,23.72617828003148,23.90063568237232,3340843
2004-02-26,23.878829956054688,23.987865839134045,23.726179719743584,23.857022779438815,1995400
2004-02-27,23.987871170043945,24.2277501661277,23.922449625657467,24.075099895892585,1586096
2004-03-01,24.162322998046875,24.293166056366577,24.053287116113793,24.271357207137342,1252392
2004-03-02,24.2713623046875,24.2713623046875,23.987870624964263,24.2713623046875,1328438
2004-03-03,23.966062545776367,24.096905626672303,23.769797924432464,24.009676906075015,2313384
2004-03-04,24.118717193603516,24.227753114181898,23.987874088909457,24.227753114181898,1563145
2004-03-05,24.118717193603516,24.424016098379774,23.813416615984046,24.140524377719192,1929194
2004-03-08,24.096908569335938,24.249558849022527,24.03148702089883,24.14052293496068,704387
2004-03-09,24.31497573852539,24.838348061747585,24.009676889488684,24.009676889488684,2992160
2004-03-10,24.72931480407715,24.772929169007046,24.162329732831548,24.162329732831548,2623847
2004-03-11,24.075096130371094,24.77292415517176,23.7697956376521,24.467623662452766,3286919
2004-03-12,24.903770446777344,25.100035074642104,23.66076280981016,23.835220256801055,4670900
