Price,Close,High,Low,Open,Volume
Ticker,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI
Date,,,,,
2004-01-02,27384.0,27384.0,26887.0,26887.0,212731500
2004-01-05,27530.0,27563.0,27292.0,27384.0,414679300
2004-01-06,27652.0,27662.0,27421.0,27530.0,332292700
2004-01-07,27187.0,27652.0,27148.0,27652.0,746970800
2004-01-08,27503.0,27532.0,27187.0,27187.0,938375300
2004-01-09,27441.0,27636.0,27218.0,27503.0,720600000
2004-01-12,27471.0,27490.0,27303.0,27441.0,496776300
2004-01-13,27393.0,27674.0,27368.0,27471.0,694559400
2004-01-14,27631.0,27686.0,27391.0,27393.0,641633000
2004-01-15,27742.0,27775.0,27482.0,27631.0,577277100
2004-01-16,27861.0,27967.0,27742.0,27742.0,648755200
2004-01-19,28133.0,28143.0,27931.0,27931.0,564928700
2004-01-20,28040.0,28259.0,28015.0,28133.0,647738400
2004-01-21,28137.0,28158.0,27993.0,28040.0,649024100
2004-01-22,28095.0,28243.0,27976.0,28137.0,559658900
2004-01-23,28130.0,28238.0,28036.0,28095.0,528847400
2004-01-26,28114.0,28148.0,27998.0,28130.0,420708800
2004-01-27,28240.0,28407.0,28114.0,28114.0,578487300
2004-01-28,28308.0,28329.0,28116.0,28240.0,642018700
2004-01-29,28033.0,28308.0,28012.0,28308.0,618327700
2004-01-30,27774.0,28104.0,27712.0,28033.0,668320700
2004-02-02,27840.0,27920.0,27730.0,27774.0,588666000
2004-02-03,27655.0,27843.0,27536.0,27840.0,626147700
2004-02-04,27677.0,27755.0,27548.0,27655.0,591742700
2004-02-05,27525.0,27815.0,27494.0,27677.0,603357200
2004-02-06,27587.0,27659.0,27432.0,27525.0,521670200
2004-02-09,27897.0,27917.0,27587.0,27587.0,648641700
2004-02-10,27906.0,27931.0,27785.0,27897.0,567286200
2004-02-11,27902.0,27968.0,27831.0,27906.0,457015100
2004-02-12,27880.0,28054.0,27761.0,27902.0,644680500
2004-02-13,27579.0,27895.0,27535.0,27880.0,609718400
2004-02-16,27672.0,27684.0,27533.0,27579.0,413617100
2004-02-17,27849.0,27942.0,27672.0,27672.0,616308900
2004-02-18,27836.0,27904.0,27781.0,27849.0,589125500
2004-02-19,28013.0,28106.0,27836.0,27836.0,591295500
2004-02-20,27807.0,28038.0,27743.0,28013.0,631183500
2004-02-23,27932.0,27980.0,27807.0,27807.0,431186400
2004-02-24,27750.0,27935.0,27640.0,27932.0,511771800
2004-02-25,27806.0,27867.0,27724.0,27750.0,489780800
2004-02-26,27881.0,27921.0,27739.0,27806.0,425541200
2004-02-27,27957.0,28152.0,27881.0,27881.0,541356200
2004-03-01,28188.0,28195.0,27957.0,27957.0,492961800
2004-03-02,28290.0,28290.0,28163.0,28188.0,530109500
2004-03-03,28209.0,28329.0,28171.0,28290.0,524500300
2004-03-04,28323.0,28355.0,28209.0,28209.0,496041400
2004-03-05,28359.0,28405.0,28195.0,28323.0,595596500
2004-03-08,28443.0,28492.0,28359.0,28359.0,551129200
2004-03-09,28341.0,28443.0,28283.0,28443.0,520396200
2004-03-10,28350.0,28400.0,28201.0,28341.0,742840500
2004-03-11,27695.0,28350.0,27645.0,28350.0,894408300
2004-03-12,27548.0,27695.0,27185.0,27695.0,764522700
