Price,Close,High,Low,Open,Volume
Ticker,VTBR.ME,VTBR.ME,VTBR.ME,VTBR.ME,VTBR.ME
Date,,,,,
2010-03-03,4.330959990334764e+22,4.387197550787679e+22,4.2184857245319545e+22,4.274722857433359e+22,16214791
2010-03-04,4.330959990334764e+22,4.387197550787679e+22,4.274722857433359e+22,4.330959990334764e+22,16195916
2010-03-05,4.3871973396016645e+22,4.3871973396016645e+22,4.33095978185585e+22,4.33095978185585e+22,15800102
2010-03-09,4.443434688868565e+22,4.499671821835523e+22,4.387197555901607e+22,4.387197555901607e+22,15440002
2010-03-10,4.3871973396016645e+22,4.443434469795989e+22,4.3871973396016645e+22,4.3871973396016645e+22,10797431
2010-03-11,4.330959990334764e+22,4.443434683689085e+22,4.274722857433359e+22,4.387197550787679e+22,12234070
2010-03-12,4.443434688868565e+22,4.499671821835523e+22,4.330959995383139e+22,4.387197555901607e+22,14992136
2010-03-15,4.3871973396016645e+22,4.499671599990314e+22,4.3871973396016645e+22,4.443434469795989e+22,8658460
2010-03-16,4.4996715877755035e+22,4.555966437268222e+22,4.44343445773384e+22,4.44343445773384e+22,10490457
2010-03-17,4.555966583117635e+22,4.612203714959608e+22,4.555966583117635e+22,4.555966583117635e+22,12245058
2010-03-18,4.555966583117635e+22,4.612203714959608e+22,4.555966583117635e+22,4.555966583117635e+22,10309244
2010-03-19,4.443434688868565e+22,4.555966674256538e+22,4.387197555901607e+22,4.555966674256538e+22,11584183
2010-03-22,4.3871973396016645e+22,4.499671599990314e+22,4.33095978185585e+22,4.3871973396016645e+22,12837661
2010-03-23,4.443434688868565e+22,4.499671821835523e+22,4.387197555901607e+22,4.443434688868565e+22,24619611
2010-03-24,4.443434688868565e+22,4.499671821835523e+22,4.387197555901607e+22,4.499671821835523e+22,11903480
2010-03-25,4.443434688868565e+22,4.443434688868565e+22,4.387197555901607e+22,4.443434688868565e+22,6012364
2010-03-26,4.443434688868565e+22,4.499671821835523e+22,4.443434688868565e+22,4.443434688868565e+22,5389807
2010-03-29,4.555966583117635e+22,4.555966583117635e+22,4.387197468138812e+22,4.443434599980785e+22,10232499
2010-03-30,4.443434688868565e+22,4.555966674256538e+22,4.443434688868565e+22,4.555966674256538e+22,8875247
2010-03-31,4.555966583117635e+22,4.555966583117635e+22,4.443434599980785e+22,4.443434599980785e+22,11644846
2010-04-01,4.555966583117635e+22,4.612203714959608e+22,4.499671731822759e+22,4.555966583117635e+22,13168658
2010-04-02,4.555966583117635e+22,4.555966583117635e+22,4.555966583117635e+22,4.555966583117635e+22,5611592
2010-04-05,4.6122039323845355e+22,4.6122039323845355e+22,4.555966797891475e+22,4.555966797891475e+22,4516147
2010-04-06,4.668441732011399e+22,4.7246788693664306e+22,4.4996721729361966e+22,4.55596702974979e+22,14073672
2010-04-07,4.6122039323845355e+22,4.668441494429119e+22,4.6122039323845355e+22,4.668441494429119e+22,9983462
2010-04-08,4.6122039323845355e+22,4.668441494429119e+22,4.555966797891475e+22,4.6122039323845355e+22,8952829
2010-04-09,4.724678630918337e+22,4.724678630918337e+22,4.668441496401517e+22,4.668441496401517e+22,11327227
2010-04-12,4.724678630918337e+22,4.780916192986681e+22,4.668441496401517e+22,4.780916192986681e+22,6051547
2010-04-13,4.724678630918337e+22,4.780916192986681e+22,4.668441496401517e+22,4.724678630918337e+22,12639317
2010-04-14,4.837152879092176e+22,4.837152879092176e+22,4.724678192933584e+22,4.780915749788622e+22,10029897
2010-04-15,4.780916430545201e+22,4.837153567856383e+22,4.780916430545201e+22,4.837153567856383e+22,8558732
2010-04-16,4.724678630918337e+22,4.780916192986681e+22,4.668441496401517e+22,4.780916192986681e+22,8845148
2010-04-19,-1.3254456806071326e+21,-1.375788335469103e+21,-1.3086705347571184e+21,-1.375788335469103e+21,24883461
2010-04-20,-1.342220885531646e+21,-1.3590132494326615e+21,-1.3254457389433157e+21,-1.342220885531646e+21,16119135
2010-04-21,-1.3254456806071326e+21,-1.342220826457147e+21,-1.3086705347571184e+21,-1.342220826457147e+21,10880286
2010-04-22,-1.2918954114955944e+21,-1.3422209824293417e+21,-1.2918954114955944e+21,-1.3086706868306159e+21,14511319
2010-04-23,-1.3254456806071326e+21,-1.3254456806071326e+21,-1.2918952613714602e+21,-1.3086705347571184e+21,10953738
