Price,Close,High,Low,Open,Volume
Ticker,CFR.JO,CFR.JO,CFR.JO,CFR.JO,CFR.JO
Date,,,,,
2023-04-19,300449.0,304576.0,299914.0,300000.0,335391
2023-04-20,302721.0,304492.0,299716.0,303800.0,186944
2023-04-21,302823.0,304200.0,298123.0,303500.0,237202
2023-04-24,308131.0,310566.0,303017.0,302787.0,255193
2023-04-25,311032.0,312742.0,307967.0,310051.0,265419
2023-04-26,303664.0,308200.0,300712.0,308200.0,247345
2023-04-28,301539.0,307945.0,298815.0,304218.0,263258
2023-05-02,302000.0,304370.0,298604.0,298500.0,280368
2023-05-03,312301.0,312301.0,306100.0,306100.0,433400
2023-05-04,306000.0,311428.0,306000.0,310550.0,348859
2023-05-05,306422.0,307819.0,304889.0,307846.0,194323
2023-05-08,309833.0,311197.0,306713.0,306422.0,215580
2023-05-09,307908.0,311111.0,304277.0,307665.0,309323
2023-05-10,310854.0,315670.0,308230.0,309160.0,317308
2023-05-11,317691.0,318864.0,310914.0,310915.0,409450
2023-05-12,332300.0,347987.0,328717.0,332644.0,916029
2023-05-15,330172.0,335208.0,329349.0,333937.0,659019
2023-05-16,327761.0,333472.0,327564.0,328700.0,320070
2023-05-17,332677.0,332777.0,324711.0,328240.0,323310
2023-05-18,331707.0,337499.0,326975.0,333333.0,218395
2023-05-19,332707.0,337149.0,329729.0,332400.0,189090
2023-05-22,329834.0,334996.0,328877.0,332707.0,114393
2023-05-23,316180.0,330754.0,315503.0,327600.0,243512
2023-05-24,306950.0,314000.0,305681.0,314700.0,368245
2023-05-25,319128.0,320966.0,305300.0,307096.0,260140
2023-05-26,325911.0,327135.0,319128.0,319128.0,218078
2023-05-29,327878.0,330000.0,325190.0,325000.0,157275
2023-05-30,330283.0,335861.0,327108.0,325560.0,234919
2023-05-31,312994.0,325000.0,311488.0,328299.0,317317
2023-06-01,307199.0,318221.0,304401.0,312150.0,299872
2023-06-02,313001.0,317500.0,310726.0,308001.0,692371
2023-06-05,306427.0,314987.0,304764.0,308600.0,218527
2023-06-06,305432.0,307731.0,303892.0,309799.0,365857
2023-06-07,301353.0,305706.0,301002.0,303850.0,315217
2023-06-08,299851.0,301599.0,297500.0,300641.0,440501
2023-06-09,293550.0,301334.0,291704.0,301334.0,563628
2023-06-12,296430.0,300683.0,294709.0,296226.0,754047
2023-06-13,303612.0,303612.0,293975.0,299500.0,762449
2023-06-14,298800.0,304294.0,296212.0,302784.0,671330
2023-06-15,297250.0,298787.0,290728.0,298783.0,8372692
2023-06-19,299376.0,305717.0,298839.0,302947.0,665037
2023-06-20,301286.0,303500.0,295581.0,300000.0,407561
2023-06-21,299581.0,302000.0,296851.0,296551.0,196065
2023-06-22,305625.0,305789.0,298157.0,298157.0,175222
2023-06-23,305305.0,306688.0,299502.0,305600.0,209243
2023-06-26,306643.0,308481.0,303378.0,305294.0,75055
2023-06-27,307437.0,308245.0,304787.0,303000.0,118170
2023-06-28,310760.0,312151.0,306788.0,307437.0,101791
2023-06-29,314762.0,316406.0,310349.0,307779.0,78907
2023-06-30,320552.0,321962.0,312950.0,313216.0,99511
2023-07-03,312964.0,319930.0,312123.0,318881.0,271400
2023-07-04,311994.0,315017.0,310678.0,312000.0,155105
2023-07-05,310915.0,312759.0,309330.0,311994.0,130492
2023-07-06,306525.0,309347.0,303768.0,308219.0,124975
2023-07-07,305063.0,309353.0,304000.0,304752.0,80708
2023-07-10,305170.0,309353.0,300837.0,309400.0,73995
2023-07-11,309921.0,311778.0,307294.0,307900.0,124939
2023-07-12,316500.0,317996.0,309699.0,311587.0,127217
2023-07-13,317558.0,322161.0,316344.0,316500.0,301066
2023-07-14,322070.0,324167.0,316423.0,316470.0,218772
2023-07-17,291493.0,309998.0,291201.0,307541.0,932316
2023-07-18,294192.0,298564.0,286601.0,289999.0,334066
2023-07-19,290225.0,298010.0,283532.0,297998.0,359752
2023-07-20,283100.0,286517.0,281200.0,287001.0,315731
2023-07-21,288795.0,288795.0,280228.0,286100.0,225594
2023-07-24,283170.0,288800.0,280715.0,287927.0,177588
2023-07-25,280287.0,286099.0,279072.0,284229.0,406137
2023-07-26,277336.0,282015.0,277336.0,280199.0,599035
2023-07-27,285751.0,287766.0,280237.0,279342.0,233858
2023-07-28,284200.0,290000.0,282250.0,289000.0,230373
2023-07-31,288201.0,288944.0,282490.0,282801.0,145581
2023-08-01,284823.0,287600.0,284109.0,288199.0,91585
2023-08-02,284806.0,289500.0,283421.0,283300.0,396258
2023-08-03,287770.0,289444.0,281895.0,284226.0,315079
2023-08-04,284872.0,290379.0,284073.0,288474.0,238072
2023-08-07,286155.0,286583.0,282955.0,284030.0,239592
2023-08-08,283279.0,287944.0,281672.0,285222.0,351776
2023-08-10,287437.0,289467.0,283810.0,284999.0,361488
2023-08-11,280456.0,286972.0,279515.0,287437.0,193705
2023-08-14,280686.0,283128.0,278998.0,280000.0,264984
2023-08-15,275950.0,281366.0,275378.0,280686.0,135352
2023-08-16,273224.0,277739.0,273101.0,275500.0,102447
2023-08-17,269387.0,275099.0,269211.0,273400.0,186894
2023-08-18,262240.0,268000.0,261009.0,268000.0,295043
