Price,Close,High,Low,Open,Volume
Ticker,AKBNK.IS,AKBNK.IS,AKBNK.IS,AKBNK.IS,AKBNK.IS
Date,,,,,
2004-01-01,-39855.8828125,-39855.8828125,-39855.8828125,-39855.8828125,0
2004-01-02,-41202.37890625,-41202.37890625,-39855.886874880234,-41202.37890625,8300650
2004-01-05,-42548.84765625,-42818.154266256104,-41202.37408307131,-42548.84765625,16265004
2004-01-06,-42010.2578125,-43626.03343979423,-42010.2578125,-42010.2578125,18014657
2004-01-07,-41740.9609375,-42010.24919490556,-40394.469323914986,-41740.9609375,6946930
2004-01-08,-42279.56640625,-43087.44977002133,-42279.56640625,-42279.56640625,9488436
2004-01-09,-42548.84765625,-43087.44257569242,-42279.559346813694,-42548.84765625,12287576
2004-01-12,-42279.56640625,-43087.44977002133,-41740.97597202137,-42279.56640625,6633884
2004-01-13,-41471.66796875,-41740.974614966835,-41202.37962310543,-41471.66796875,4947230
2004-01-14,-40394.47265625,-42010.25266053406,-40394.47265625,-40394.47265625,5091645
2004-01-15,-38778.6953125,-39855.88053087906,-37970.816692785775,-38778.6953125,8804294
2004-01-16,-38509.41796875,-39586.603365568146,-38240.111325473685,-38509.41796875,2934189
2004-01-19,-37432.22265625,-38240.103532729656,-36624.32576677306,-37432.22265625,5673247
2004-01-20,-39048.00390625,-39317.2922181046,-37162.92167127291,-39048.00390625,6839978
2004-01-21,-39048.00390625,-39855.88256724128,-38509.41355711332,-39048.00390625,5138936
2004-01-22,-37701.51171875,-39317.28951790682,-37432.22342538933,-37701.51171875,11871000
2004-01-23,-37701.51171875,-37701.51171875,-37701.51171875,-37701.51171875,0
2004-01-26,-37701.51171875,-38240.10431846894,-36893.63082567039,-37701.51171875,5172226
2004-01-27,-37701.51171875,-38509.41091239831,-37162.91911903106,-37701.51171875,6849848
2004-01-28,-36893.6328125,-37701.51374908634,-36085.73357534396,-36893.6328125,5111262
2004-01-29,-35547.140625,-37432.22510254778,-35277.85460714501,-35547.140625,5554622
2004-01-30,-35008.546875,-36085.73208805067,-34200.64995871309,-35008.546875,9709953
2004-02-02,-34739.26171875,-34739.26171875,-34739.26171875,-34739.26171875,0
2004-02-03,-34739.26171875,-34739.26171875,-34739.26171875,-34739.26171875,0
2004-02-04,-34739.26171875,-34739.26171875,-34739.26171875,-34739.26171875,0
2004-02-05,-34200.6484375,-35816.44448577583,-33931.36015271394,-34200.6484375,8847796
2004-02-06,-33392.76953125,-34469.95475964988,-33123.462930079855,-33392.76953125,6835666
2004-02-09,-34200.6484375,-34200.6484375,-32315.582405006237,-34200.6484375,14648020
2004-02-10,-36355.04296875,-36624.33129724142,-34739.26495880235,-36355.04296875,11604196
2004-02-11,-36893.6328125,-37162.92112036262,-36085.73357534396,-36893.6328125,9085166
2004-02-12,-40394.47265625,-40394.47265625,-38509.40894748743,-40394.47265625,13693260
2004-02-13,-40663.78515625,-41471.66383814771,-40125.19021803297,-40663.78515625,8624495
2004-02-16,-40663.78515625,-42010.25877636474,-40394.478536856266,-40663.78515625,8749928
2004-02-17,-39048.00390625,-40933.072415799616,-38778.69729382543,-39048.00390625,9081352
2004-02-18,-38509.41796875,-39048.00837958757,-37970.82298276942,-38509.41796875,6041787
2004-02-19,-38240.1015625,-39855.876957636596,-37701.50900159749,-38240.1015625,21446020
2004-02-20,-36893.6328125,-37701.51374908634,-36624.3284916389,-36893.6328125,11279456
2004-02-23,-36624.328125,-37432.22506649713,-36355.03981983317,-36624.328125,5533691
2004-02-24,-37432.22265625,-38240.103532729656,-36624.32576677306,-37432.22265625,9613977
2004-02-25,-37162.921875,-37701.51451466049,-36893.633561669165,-37162.921875,5300647
2004-02-26,-37432.22265625,-37970.8152449022,-37162.91835542526,-37432.22265625,12262663
2004-02-27,-37432.22265625,-37701.510944077454,-37162.91835542526,-37432.22265625,4012684
2004-03-01,-37162.921875,-37701.51451466049,-37162.921875,-37162.921875,1454460
2004-03-02,-38778.6953125,-38778.6953125,-37162.91977250252,-38778.6953125,9554851
2004-03-03,-38240.1015625,-39047.99841035199,-38240.1015625,-38240.1015625,6288253
2004-03-04,-38240.1015625,-39047.99841035199,-38240.1015625,-38240.1015625,5514329
2004-03-05,-38778.6953125,-38778.6953125,-37970.816692785775,-38778.6953125,2147397
2004-03-08,-38509.41796875,-39048.00837958757,-38240.111325473685,-38509.41796875,6322109
2004-03-09,-39048.00390625,-39586.59883052917,-38240.106944688756,-39048.00390625,13695836
2004-03-10,-38778.6953125,-39317.29020926066,-38240.10499088159,-38778.6953125,4325397
2004-03-11,-37701.51171875,-39048.001224546155,-37432.22342538933,-37701.51171875,10849127
2004-03-12,-37701.51171875,-38240.10431846894,-37162.91911903106,-37701.51171875,7201243
2004-03-15,-37701.51171875,-38240.10431846894,-37432.22342538933,-37701.51171875,2337705
2004-03-16,-37432.22265625,-37701.510944077454,-37162.91835542526,-37432.22265625,1766413
2004-03-17,-37432.22265625,-37701.510944077454,-37162.91835542526,-37432.22265625,2312944
2004-03-18,-37701.51171875,-37970.81602510827,-36893.63082567039,-37701.51171875,5456391
2004-03-19,-37970.8125,-38240.10076836066,-37701.508218643205,-37970.8125,4926709
2004-03-22,-38240.1015625,-39047.99841035199,-38240.1015625,-38240.1015625,8095259
2004-03-23,-38778.6953125,-39048.00191116484,-37970.816692785775,-38778.6953125,7230315
2004-03-24,-38509.41796875,-39048.00837958757,-38509.41796875,-38509.41796875,5409354
2004-03-25,-38240.1015625,-38240.1015625,-37701.50900159749,-38240.1015625,6749193
2004-03-26,-39586.6015625,-40125.191948806154,-38509.41621474489,-39586.6015625,16897979
2004-03-29,-39586.6015625,-40394.48027924502,-38509.41621474489,-39586.6015625,26413323
2004-03-30,1.09262216091156,1.1559625253507493,1.09262216091156,1.09262216091156,20268889
2004-03-31,1.09262216091156,1.1084572520213574,1.0767870698017628,1.09262216091156,6986698
2004-04-01,1.1163746118545532,1.1242919190248466,1.1005395267180795,1.1163746118545532,7583771
2004-04-02,1.108457088470459,1.116374868255135,1.1005397794817775,1.108457088470459,7745787
2004-04-05,1.0847046375274658,1.1084570341249713,1.0847046375274658,1.0847046375274658,3544699
2004-04-06,1.0847046375274658,1.10053972552446,1.0847046375274658,1.0847046375274658,4412378
2004-04-07,1.0688695907592773,1.0926219882729684,1.0688695907592773,1.0688695907592773,5800365
2004-04-08,1.045116662979126,1.068869598722336,1.0213643325450505,1.045116662979126,9888997
2004-04-09,1.0530345439910889,1.0688696332280458,1.0451166967180334,1.0530345439910889,4453413
2004-04-12,1.0213643312454224,1.0530345086566475,1.0213643312454224,1.0213643312454224,2542390
2004-04-13,1.0371994972229004,1.0451167395109782,1.0134465597403093,1.0371994972229004,4444288
2004-04-14,1.060951828956604,1.060951828956604,1.0292816491990608,1.060951828956604,5837107
2004-04-15,1.0213643312454224,1.0451166616492744,0.9976113955324366,1.0213643312454224,7709375
