Price,Close,High,Low,Open,Volume
Ticker,XU100.IS,XU100.IS,XU100.IS,XU100.IS,XU100.IS
Date,,,,,
2004-01-02,19147.69921875,19168.69921875,18625.0,18625.0,307833600
2004-01-05,19696.599609375,19725.0,19147.69921875,19147.69921875,405857300
2004-01-06,19013.80078125,19921.5,18932.900390625,19696.599609375,468582700
2004-01-07,19382.80078125,19479.80078125,18670.5,19013.80078125,459999400
2004-01-08,19404.900390625,19777.400390625,19320.69921875,19382.80078125,339698800
2004-01-09,19926.5,19968.900390625,19404.900390625,19404.900390625,363520700
2004-01-12,19558.80078125,20190.0,19467.30078125,19926.5,376889300
2004-01-13,19460.30078125,19689.599609375,19250.69921875,19558.80078125,347962500
2004-01-14,18818.599609375,19692.5,18736.599609375,19460.30078125,385269800
2004-01-15,18952.19921875,19076.400390625,18449.099609375,18818.599609375,302536000
2004-01-16,18301.19921875,19010.69921875,18239.599609375,18952.19921875,207444900
2004-01-19,17788.599609375,18344.69921875,17713.0,18301.19921875,195139800
2004-01-20,18832.80078125,18832.80078125,17788.599609375,17788.599609375,291802300
2004-01-21,18899.900390625,18980.400390625,18521.400390625,18832.80078125,284670800
2004-01-22,18518.099609375,18992.099609375,18397.5,18899.900390625,240150100
2004-01-26,18356.5,18593.0,18139.5,18518.099609375,182118000
2004-01-27,17899.5,18658.0,17793.0,18356.5,245103900
2004-01-28,17902.0,18066.900390625,17563.80078125,17899.5,168418500
2004-01-29,17282.30078125,17933.19921875,16982.80078125,17902.0,184320600
2004-01-30,17259.30078125,17568.19921875,17051.099609375,17282.30078125,186352900
2004-02-05,17033.80078125,17516.0,16961.80078125,17259.30078125,117451900
2004-02-06,16965.80078125,17123.69921875,16677.69921875,17033.80078125,139917900
2004-02-09,17641.0,17653.599609375,16565.69921875,16965.80078125,271629500
2004-02-10,17418.5,17879.400390625,17370.5,17641.0,289134700
2004-02-11,18000.30078125,18007.599609375,17418.5,17418.5,217426800
2004-02-12,18885.900390625,18999.400390625,18000.30078125,18000.30078125,404433500
2004-02-13,19000.5,19246.0,18720.69921875,18885.900390625,234887200
2004-02-16,19324.5,19929.599609375,19000.5,19000.5,354255500
2004-02-17,19010.099609375,19525.599609375,18968.19921875,19324.5,271028300
2004-02-18,19478.69921875,19486.80078125,18761.69921875,19010.099609375,260846800
2004-02-19,18606.0,19560.19921875,18560.0,19478.69921875,0
2004-02-20,18603.80078125,18710.099609375,18103.5,18606.0,243576400
2004-02-23,18284.0,18694.19921875,18227.5,18603.80078125,175969700
2004-02-24,18497.69921875,18680.099609375,18235.099609375,18284.0,249474300
2004-02-25,18707.099609375,18751.900390625,18497.69921875,18497.69921875,270886500
2004-02-26,18771.599609375,19054.099609375,18707.099609375,18707.099609375,317037000
2004-02-27,18889.19921875,18987.80078125,18676.19921875,18771.599609375,275495000
2004-03-01,18786.400390625,19008.900390625,18711.400390625,18889.19921875,177630600
2004-03-02,19356.599609375,19356.599609375,18675.69921875,18786.400390625,280834000
2004-03-03,19171.900390625,19364.599609375,19119.19921875,19356.599609375,282583500
2004-03-04,19015.5,19327.400390625,18888.599609375,19171.900390625,199196000
2004-03-05,19165.69921875,19220.400390625,18938.30078125,19015.5,233530200
2004-03-08,19495.400390625,19590.30078125,19165.69921875,19165.69921875,347113400
2004-03-09,19488.5,19826.400390625,19451.099609375,19495.400390625,489824800
2004-03-10,19798.80078125,19798.80078125,19418.099609375,19488.5,350590800
2004-03-11,19381.400390625,19861.69921875,19292.099609375,19798.80078125,343019200
2004-03-12,19364.400390625,19595.400390625,19142.19921875,19381.400390625,315057800
2004-03-15,19526.5,19619.30078125,19364.400390625,19364.400390625,268002000
2004-03-16,19321.599609375,19526.5,19256.80078125,19526.5,270614200
2004-03-17,19294.5,19491.5,19207.30078125,19321.599609375,214276700
2004-03-18,19611.099609375,19619.19921875,19123.099609375,19294.5,267767800
2004-03-19,20023.80078125,20023.900390625,19611.099609375,19611.099609375,336420200
2004-03-22,20167.19921875,20396.900390625,20023.80078125,20023.80078125,382804300
2004-03-23,20185.80078125,20457.30078125,19978.900390625,20167.19921875,389550500
2004-03-24,20347.80078125,20541.099609375,20185.80078125,20185.80078125,605302500
2004-03-25,20472.599609375,20501.099609375,20110.80078125,20347.80078125,439354500
2004-03-26,20836.099609375,20913.19921875,20472.599609375,20472.599609375,609290400
2004-03-29,20887.0,21315.0,20568.099609375,20836.099609375,518961100
2004-03-30,20030.69921875,20896.5,19945.0,20887.0,421094100
2004-03-31,20190.80078125,20283.5,19880.5,20030.69921875,334611200
2004-04-01,20322.19921875,20447.099609375,20190.80078125,20190.80078125,285987500
2004-04-02,20485.0,20550.0,20322.19921875,20322.19921875,266981600
2004-04-05,20330.900390625,20610.900390625,20239.599609375,20485.0,231342200
2004-04-06,20272.900390625,20474.69921875,20154.69921875,20330.900390625,329587200
2004-04-07,20040.099609375,20390.599609375,19984.19921875,20272.900390625,274166600
2004-04-08,19419.80078125,20040.099609375,19301.19921875,20040.099609375,306494000
2004-04-09,19505.19921875,19729.900390625,19419.80078125,19419.80078125,191960000
2004-04-12,19259.5,19571.69921875,19107.099609375,19505.19921875,244908900
2004-04-13,19104.400390625,19259.5,18890.80078125,19259.5,249261900
2004-04-14,18678.19921875,19410.5,18652.5,19104.400390625,326812400
2004-04-15,18687.5,18792.19921875,18328.0,18678.19921875,238921200
2004-04-16,19269.5,19269.5,18687.5,18687.5,276319200
2004-04-19,19935.69921875,19948.19921875,19269.5,19269.5,290894800
2004-04-20,19528.099609375,20026.30078125,19439.900390625,19935.69921875,295991300
2004-04-21,19270.400390625,19533.80078125,19191.80078125,19528.099609375,207349400
2004-04-22,19431.5,19523.30078125,19137.30078125,19270.400390625,221398000
2004-04-26,18586.5,19600.900390625,18520.5,19431.5,228811500
2004-04-27,18217.099609375,18586.5,17772.599609375,18586.5,306795600
2004-04-28,18229.69921875,18353.099609375,18001.80078125,18217.099609375,251017400
2004-04-29,17737.900390625,18229.69921875,17471.400390625,18229.69921875,231984300
2004-04-30,18022.69921875,18039.30078125,17700.599609375,17737.900390625,229307000
2004-05-03,17678.30078125,18348.19921875,17558.599609375,18022.69921875,208080900
2004-05-04,18244.69921875,18244.69921875,17587.19921875,17678.30078125,308852100
2004-05-05,18272.400390625,18373.599609375,18088.900390625,18244.69921875,324958100
2004-05-06,17624.099609375,18371.30078125,17535.0,18272.400390625,354124400
2004-05-07,17002.0,17624.099609375,16899.30078125,17624.099609375,225537200
2004-05-10,16807.69921875,17002.0,16700.400390625,17002.0,182282400
2004-05-11,17102.5,17227.599609375,16573.099609375,16807.69921875,268751600
2004-05-12,17144.69921875,17413.30078125,17078.099609375,17102.5,194019200
2004-05-13,16645.900390625,17144.69921875,16623.69921875,17144.69921875,154575800
2004-05-14,16531.30078125,16968.30078125,16381.400390625,16645.900390625,206245600
2004-05-17,15922.400390625,16775.30078125,15868.5,16531.30078125,186348700
2004-05-18,16124.2998046875,16234.7998046875,15803.599609375,15922.400390625,167819500
2004-05-20,16334.2001953125,16389.099609375,16124.2998046875,16124.2998046875,160927200
2004-05-21,16628.80078125,16647.69921875,16270.400390625,16334.2001953125,186430500
2004-05-24,17167.400390625,17167.400390625,16628.80078125,16628.80078125,300408200
2004-05-25,16791.099609375,17167.400390625,16742.099609375,17167.400390625,286062200
2004-05-26,17235.5,17271.099609375,16791.099609375,16791.099609375,296730400
2004-05-27,17164.0,17253.19921875,16926.19921875,17235.5,218559400
2004-05-28,17327.900390625,17461.099609375,17164.0,17164.0,258500100
2004-05-31,17081.099609375,17327.900390625,16996.099609375,17327.900390625,153861400
2004-06-01,16766.80078125,17340.0,16707.69921875,17081.099609375,194420200
2004-06-02,16867.5,16925.5,16672.400390625,16766.80078125,131091500
2004-06-03,17044.400390625,17055.69921875,16753.099609375,16867.5,0
2004-06-04,17708.19921875,17708.19921875,17044.400390625,17044.400390625,351102500
2004-06-07,18020.30078125,18020.30078125,17609.80078125,17708.19921875,291972800
2004-06-08,17604.099609375,18048.69921875,17593.400390625,18020.30078125,226737100
2004-06-09,17615.599609375,17790.80078125,17492.099609375,17604.099609375,189516100
2004-06-10,17786.400390625,17860.400390625,17602.900390625,17615.599609375,156020600
2004-06-11,17664.5,17868.400390625,17527.400390625,17786.400390625,125069400
2004-06-14,17079.80078125,17664.5,16999.69921875,17664.5,146109600
2004-06-15,17230.5,17236.19921875,16954.900390625,17079.80078125,139366900
2004-06-16,17099.0,17440.5,17034.099609375,17230.5,126566900
2004-06-17,16901.400390625,17159.099609375,16827.19921875,17099.0,84055500
2004-06-18,16964.099609375,17086.599609375,16849.5,16901.400390625,136135800
2004-06-21,16785.400390625,17000.5,16749.69921875,16964.099609375,72622500
2004-06-22,16752.80078125,17037.5,16664.0,16785.400390625,114009100
2004-06-23,16820.0,16837.69921875,16629.599609375,16752.80078125,103587400
2004-06-24,16888.599609375,17140.900390625,16717.80078125,16820.0,212766500
2004-06-25,17355.19921875,17394.80078125,16888.599609375,16888.599609375,174941700
2004-06-28,17710.400390625,17712.900390625,17292.80078125,17355.19921875,190551800
2004-06-29,17735.5,17819.400390625,17479.599609375,17710.400390625,175744100
2004-06-30,17967.599609375,17967.599609375,17677.80078125,17735.5,140879800
2004-07-01,18290.30078125,18319.19921875,17925.30078125,17967.599609375,233096900
2004-07-02,18416.400390625,18490.400390625,18152.30078125,18290.30078125,275026400
2004-07-05,18554.80078125,18707.900390625,18258.5,18416.400390625,244627300
2004-07-06,18237.599609375,18649.099609375,18167.5,18554.80078125,209011100
2004-07-07,18296.69921875,18319.0,18046.400390625,18237.599609375,177166800
2004-07-08,18076.900390625,18401.30078125,18061.5,18296.69921875,152904200
2004-07-09,18327.099609375,18333.400390625,17994.099609375,18076.900390625,131972200
2004-07-12,18368.400390625,18470.400390625,18285.30078125,18327.099609375,134403700
2004-07-13,18493.0,18683.80078125,18273.900390625,18368.400390625,266248900
2004-07-14,18635.19921875,18635.80078125,18434.400390625,18493.0,215693400
2004-07-15,18966.19921875,18975.400390625,18540.0,18635.19921875,255825000
2004-07-16,19157.30078125,19157.30078125,18884.099609375,18966.19921875,336570300
2004-07-19,18945.0,19183.900390625,18803.900390625,19157.30078125,251011800
2004-07-20,18881.30078125,19098.69921875,18741.900390625,18945.0,230122900
2004-07-21,18779.80078125,19082.19921875,18613.900390625,18881.30078125,236922800
2004-07-22,18628.69921875,18779.80078125,18540.599609375,18779.80078125,143142400
2004-07-23,18904.30078125,18911.400390625,18615.599609375,18628.69921875,211789400
2004-07-26,18645.400390625,19038.19921875,18561.099609375,18904.30078125,219301000
2004-07-27,18774.599609375,18774.599609375,18498.5,18645.400390625,227735000
2004-07-28,19018.599609375,19022.19921875,18741.099609375,18774.599609375,238811200
2004-07-29,19111.400390625,19154.19921875,18944.900390625,19018.599609375,293766900
2004-07-30,19380.900390625,19411.69921875,19101.30078125,19111.400390625,297603300
2004-08-02,19698.099609375,19706.0,19380.900390625,19380.900390625,436552200
2004-08-03,19427.400390625,19753.69921875,19312.099609375,19698.099609375,316223900
2004-08-04,19048.5,19447.30078125,18967.5,19427.400390625,228251500
2004-08-05,19344.30078125,19400.80078125,19048.5,19048.5,312543100
2004-08-06,19187.599609375,19344.30078125,18968.099609375,19344.30078125,259980600
2004-08-09,19248.099609375,19608.900390625,19171.400390625,19187.599609375,285735900
2004-08-10,19392.599609375,19413.400390625,19051.5,19248.099609375,224223100
2004-08-11,18908.599609375,19482.80078125,18848.69921875,19392.599609375,236293300
2004-08-12,18775.5,18950.5,18692.099609375,18908.599609375,165268200
2004-08-13,18826.0,18856.80078125,18599.80078125,18775.5,191624600
2004-08-16,18832.19921875,18860.69921875,18651.69921875,18826.0,146817300
2004-08-17,19459.69921875,19459.69921875,18832.19921875,18832.19921875,271135300
2004-08-18,19268.099609375,19583.900390625,19190.19921875,19459.69921875,258578300
2004-08-19,19187.80078125,19443.099609375,19125.30078125,19268.099609375,187471700
2004-08-20,19286.30078125,19286.30078125,19052.5,19187.80078125,161840200
2004-08-23,19363.69921875,19412.900390625,19150.900390625,19286.30078125,184486500
2004-08-24,19663.599609375,19663.599609375,19339.80078125,19363.69921875,201742600
2004-08-25,19558.0,19738.69921875,19477.80078125,19663.599609375,188103600
2004-08-26,19572.30078125,19675.400390625,19383.5,19558.0,169803000
2004-08-27,19855.30078125,19861.599609375,19572.30078125,19572.30078125,206639800
2004-08-31,20218.400390625,20243.19921875,19753.400390625,19855.30078125,250848600
2004-09-01,20512.19921875,20630.5,20218.400390625,20218.400390625,300205400
2004-09-02,20525.900390625,20703.400390625,20309.19921875,20512.19921875,268889100
2004-09-03,20775.0,20800.19921875,20470.099609375,20525.900390625,350491100
2004-09-06,20851.599609375,20886.19921875,20574.80078125,20775.0,329578300
2004-09-07,21119.19921875,21188.400390625,20851.599609375,20851.599609375,492277600
2004-09-08,21468.30078125,21572.0,21063.5,21119.19921875,464289800
2004-09-09,21398.0,21553.599609375,21213.400390625,21468.30078125,379919400
2004-09-10,21004.099609375,21398.0,20959.80078125,21398.0,310896400
2004-09-13,21060.19921875,21126.099609375,20866.30078125,21004.099609375,291524900
2004-09-14,21705.30078125,21705.30078125,21059.599609375,21060.19921875,333459100
2004-09-15,21616.5,21982.0,21518.0,21705.30078125,503271300
2004-09-16,21704.80078125,21770.19921875,21325.80078125,21616.5,321820200
2004-09-17,20833.19921875,21704.80078125,20762.599609375,21704.80078125,453956800
2004-09-20,20373.400390625,20833.19921875,20041.900390625,20833.19921875,351623900
2004-09-21,21192.900390625,21192.900390625,20213.30078125,20373.400390625,390563400
2004-09-22,21491.400390625,21537.900390625,21164.900390625,21192.900390625,371404200
2004-09-23,22276.69921875,22303.19921875,21290.30078125,21491.400390625,547593000
2004-09-24,22307.400390625,22640.0,22177.19921875,22276.69921875,519744200
