Price,Close,High,Low,Open,Volume
Ticker,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS
Date,,,,,
2004-01-01,-3304.2255859375,-3304.2255859375,-3304.2255859375,-3304.2255859375,0
2004-01-02,-3345.5283203125,-3359.2962123207512,-3290.4583546877843,-3345.5283203125005,3015767
2004-01-05,-3400.5986328125,-3414.3665229813246,-3359.2957635100624,-3400.5986328125,4384829
2004-01-06,-3304.2255859375,-3400.5989568257614,-3290.458228592929,-3304.2255859375,7064748
2004-01-07,-3262.92236328125,-3276.6897191515086,-3207.8518715281803,-3262.92236328125,4923715
2004-01-08,-3290.458251953125,-3331.760858416136,-3276.6900933066954,-3290.458251953125,6453088
2004-01-09,-3331.760986328125,-3331.760986328125,-3262.92286113356,-3331.760986328125,6125898
2004-01-12,-3359.296142578125,-3441.9016234363157,-3345.5282508557107,-3359.2961425781255,4605837
2004-01-13,-3290.458251953125,-3331.760858416136,-3262.922735864385,-3290.458251953125,2350225
2004-01-14,-3235.3876953125,-3345.5284314240657,-3221.620336983104,-3235.3876953125,5307078
2004-01-15,-3194.084716796875,-3207.852073534096,-3125.2465977706406,-3194.0847167968745,4299758
2004-01-16,-3180.31689453125,-3249.154736413113,-3166.548738605306,-3180.3168945312495,3690597
2004-01-19,-3165.865478515625,-3185.652014237387,-3066.9319987027457,-3165.8654785156255,3209752
2004-01-20,-3264.798828125,-3284.585363057655,-3066.931876390377,-3264.798828125,5243023
2004-01-21,-3284.5859375,-3383.5188965337043,-3245.012326577623,-3284.5859375,3193651
2004-01-22,-3245.01171875,-3324.158391633563,-3225.2249169951046,-3245.0117187500005,3951429
2004-01-23,-3245.01171875,-3245.0117187500005,-3245.0117187500005,-3245.0117187500005,0
2004-01-26,-3165.865478515625,-3264.798958328505,-3106.505604282316,-3165.8654785156255,5301549
2004-01-27,-3126.29248046875,-3205.438899043155,-3106.505942592162,-3126.29248046875,3102220
2004-01-28,-3047.145263671875,-3086.718332526985,-3007.571927748759,-3047.145263671875,2368491
2004-01-29,-2928.425048828125,-3066.931860930573,-2908.638513995211,-2928.425048828125,3628379
2004-01-30,-2928.425048828125,-2967.9989196979886,-2888.851979162296,-2928.425048828125,3409878
2004-02-02,-2928.425048828125,-2928.425048828125,-2928.425048828125,-2928.425048828125,0
2004-02-03,-2928.425048828125,-2928.425048828125,-2928.425048828125,-2928.425048828125,0
2004-02-04,-2928.425048828125,-2928.425048828125,-2928.425048828125,-2928.425048828125,0
2004-02-05,-2928.425048828125,-2987.7854545309033,-2908.638513995211,-2928.425048828125,1452223
2004-02-06,-2849.279052734375,-2928.425196044839,-2829.492249838734,-2849.279052734375,1247643
2004-02-09,-2869.06591796875,-2869.06591796875,-2750.3458881683473,-2869.06591796875,6460159
2004-02-10,-2987.78564453125,-2987.78564453125,-2888.8521628712288,-2987.78564453125,4357698
2004-02-11,-2948.212158203125,-2987.785766132176,-2928.425354238599,-2948.212158203125,4075488
2004-02-12,-3146.078857421875,-3146.0788574218755,-3007.5720428559694,-3146.0788574218755,10250167
2004-02-13,-3126.29248046875,-3205.438899043155,-3126.29248046875,-3126.29248046875,5288147
2004-02-16,-3225.22509765625,-3343.945380699726,-3205.43856186102,-3225.22509765625,5491607
2004-02-17,-3146.078857421875,-3205.4384629763786,-3126.2920551690245,-3146.0788574218755,3461410
2004-02-18,-3086.71826171875,-3106.5053298284083,-3047.1451937714323,-3086.71826171875,3347422
2004-02-19,-3047.145263671875,-3185.651805868777,-2987.7853933212045,-3047.145263671875,7585731
2004-02-20,-2908.63818359375,-2987.7851151388913,-2869.0651184231515,-2908.6381835937505,5200454
2004-02-23,-2849.279052734375,-2948.21199894048,-2809.705714011118,-2849.279052734375,2055092
2004-02-24,-2888.852783203125,-2908.6393235431347,-2829.492895115011,-2888.852783203125,4366900
2004-02-25,-2908.63818359375,-2948.2115158323304,-2888.851651008451,-2908.6381835937505,3979547
2004-02-26,-2928.425048828125,-2987.7854545309033,-2908.638513995211,-2928.425048828125,5106970
2004-02-27,-2928.425048828125,-2967.9989196979886,-2908.638513995211,-2928.425048828125,2030232
2004-03-01,-2928.425048828125,-2967.9989196979886,-2908.638513995211,-2928.425048828125,1575457
2004-03-02,-2967.9990234375,-2987.785558962007,-2888.85208013541,-2967.9990234375,5076976
2004-03-03,-2967.9990234375,-3007.5720944865143,-2928.4251511844236,-2967.9990234375,2813611
2004-03-04,-2948.212158203125,-2987.785766132176,-2928.425354238599,-2948.212158203125,1251742
2004-03-05,-2948.212158203125,-2948.212158203125,-2888.852280445627,-2948.212158203125,1407921
2004-03-08,-2967.9990234375,-2987.785558962007,-2948.2119537769518,-2967.9990234375,2715189
2004-03-09,-3007.572265625,-3047.1456059938578,-2987.785728974589,-3007.5722656249995,5571762
2004-03-10,-2967.9990234375,-2987.785558962007,-2928.4251511844236,-2967.9990234375,2426736
2004-03-11,-2928.425048828125,-3007.571989363818,-2908.638513995211,-2928.425048828125,4886978
2004-03-12,-2908.63818359375,-2948.2115158323304,-2869.0651184231515,-2908.6381835937505,4981666
2004-03-15,-2908.63818359375,-2928.4247161790495,-2888.851651008451,-2908.6381835937505,1168554
2004-03-16,-2908.63818359375,-2928.4247161790495,-2869.0651184231515,-2908.6381835937505,1820467
2004-03-17,-2888.852783203125,-2928.425863883144,-2869.066242863116,-2888.852783203125,1400513
2004-03-18,-2908.63818359375,-2928.4247161790495,-2869.0651184231515,-2908.6381835937505,1976558
2004-03-19,-2987.78564453125,-3007.572180622437,-2928.425235053603,-2987.78564453125,5503658
2004-03-22,-3066.931640625,-3106.5052415841787,-3007.571773322217,-3066.931640625,7406456
2004-03-23,-3066.931640625,-3086.7181740365972,-3007.571773322217,-3066.931640625,4921088
2004-03-24,-3047.145263671875,-3086.718332526985,-3027.3584621763143,-3047.145263671875,6134460
2004-03-25,-3047.145263671875,-3047.145263671875,-2987.7853933212045,-3047.145263671875,2991075
2004-03-26,-3106.505859375,-3146.079201136137,-3086.7187878923633,-3106.5058593749995,6874012
2004-03-29,-3146.078857421875,-3185.651927791544,-3066.931915478489,-3146.0788574218755,12629949
2004-03-30,-3047.145263671875,-3126.2919355181066,-3027.3584621763143,-3047.145263671875,5046204
2004-03-31,-3047.145263671875,-3086.718332526985,-3007.571927748759,-3047.145263671875,7871166
2004-04-01,-3066.931640625,-3106.5052415841787,-3047.145107213403,-3066.931640625,3508532
2004-04-02,-3066.931640625,-3086.7181740365972,-3066.931640625,-3066.931640625,1532773
2004-04-05,-3047.145263671875,-3086.718332526985,-3047.145263671875,-3047.145263671875,1424333
