Price,Close,High,Low,Open,Volume
Ticker,SISE.IS,SISE.IS,SISE.IS,SISE.IS,SISE.IS
Date,,,,,
2004-01-01,-7268.41455078125,-7268.41455078125,-7268.41455078125,-7268.41455078125,0
2004-01-02,-7712.88671875,-7791.3128130814475,-7320.702126099704,-7791.3128130814475,37419837
2004-01-05,-8366.5244140625,-8366.5244140625,-7922.049786788551,-8366.5244140625,47409855
2004-01-06,-7974.337890625,-8497.239047889383,-7922.0479871377665,-8497.239047889383,39921476
2004-01-07,-8105.05517578125,-8235.789232073408,-7791.314134004454,-8235.789232073408,43881229
2004-01-08,-8183.49755859375,-8366.522026203587,-8105.053953063982,-8366.522026203587,37634022
2004-01-09,-8627.9736328125,-8706.39973809134,-8314.23313103006,-8706.39973809134,86822204
2004-01-12,-8706.3994140625,-8967.849468752034,-8575.682876286142,-8967.849468752034,58098192
2004-01-13,-8497.2392578125,-8627.97330522556,-8314.23281535522,-8627.97330522556,20435236
2004-01-14,-8444.9482421875,-8706.398809314662,-8366.522145274957,-8706.398809314662,23669418
2004-01-15,-8706.3994140625,-8837.133461573701,-8105.054631392507,-8837.133461573701,34120155
2004-01-16,-8627.9736328125,-8837.133790468113,-8497.23958043573,-8837.133790468113,13867556
2004-01-19,-8575.6845703125,-8627.975016058195,-8235.790305787925,-8627.975016058195,24214929
2004-01-20,-8627.9736328125,-8706.39973809134,-8444.949143073292,-8706.39973809134,31530057
2004-01-21,-8575.6845703125,-8758.691049057954,-8444.95049697631,-8758.691049057954,17742941
2004-01-22,-8366.5244140625,-8575.684606124334,-8235.790340180367,-8575.684606124334,25833984
2004-01-23,-8444.9482421875,-8444.9482421875,-8444.9482421875,-8444.9482421875,0
2004-01-26,-8575.6845703125,-8627.975016058195,-8314.23446397655,-8627.975016058195,26991631
2004-01-27,-8444.9482421875,-8706.398809314662,-8444.9482421875,-8706.398809314662,23967344
2004-01-28,-8366.5244140625,-8497.240978206259,-8183.499894216309,-8497.240978206259,20134460
2004-01-29,-8052.7626953125,-8366.521167281117,-8052.7626953125,-8366.521167281117,17656879
2004-01-30,-7712.88671875,-8052.763371603961,-7582.152684622219,-8052.763371603961,29553871
2004-02-02,-7791.31396484375,-7791.313964843749,-7791.313964843749,-7791.313964843749,0
2004-02-03,-7791.31396484375,-7791.313964843749,-7791.313964843749,-7791.313964843749,0
2004-02-04,-7791.31396484375,-7791.313964843749,-7791.313964843749,-7791.313964843749,0
2004-02-05,-7843.603515625,-7843.603515625,-7712.886986689285,-7843.603515625,10484006
2004-02-06,-8052.7626953125,-8235.78714413271,-7843.602584419068,-8235.78714413271,28945725
2004-02-09,-7712.88671875,-8052.763371603961,-7660.596819284687,-8052.763371603961,21843103
2004-02-10,-8235.7880859375,-8235.7880859375,-7974.337519474047,-8235.7880859375,25694988
2004-02-11,-8105.05517578125,-8314.233380035132,-8105.05517578125,-8314.233380035132,22193261
2004-02-12,-8706.3994140625,-8837.133461573701,-8314.232821596608,-8837.133461573701,57190283
2004-02-13,-9360.0361328125,-9621.486229419465,-8706.400809930987,-9621.486229419465,68671121
2004-02-16,-9543.0615234375,-10013.672377363302,-9543.0615234375,-10013.672377363302,34367602
2004-02-17,-9360.0361328125,-9621.486229419465,-9281.609487280557,-9621.486229419465,17334459
2004-02-18,-9281.609375,-9360.036019583207,-9229.31999302889,-9360.036019583207,10782538
2004-02-19,-9543.0615234375,-9621.487114991596,-9360.036994320479,-9621.487114991596,15689918
2004-02-20,-9281.609375,-9412.326462750525,-9150.87530811014,-9412.326462750525,17122662
2004-02-23,-9229.3193359375,-9412.325792629792,-9150.874656603704,-9412.325792629792,7137688
2004-02-24,-9229.3193359375,-9281.60871418581,-9098.585278355393,-9281.60871418581,15081658
2004-02-25,-9281.609375,-9360.036019583207,-9229.31999302889,-9360.036019583207,20860761
2004-02-26,-9281.609375,-9490.770086473067,-9229.31999302889,-9490.770086473067,33494702
2004-02-27,-9281.609375,-9412.326462750525,-9229.31999302889,-9412.326462750525,4942904
2004-03-01,-9281.609375,-9360.036019583207,-9150.87530811014,-9360.036019583207,3690457
2004-03-02,-9490.76953125,-9543.059971358256,-9150.874772771385,-9543.059971358256,24614123
2004-03-03,-9490.76953125,-9543.059971358256,-9412.32591211652,-9543.059971358256,8665178
2004-03-04,-9490.76953125,-9621.485550157251,-9490.76953125,-9621.485550157251,7760842
2004-03-05,-9360.0361328125,-9412.32657661238,-9281.609487280557,-9412.32657661238,6732134
2004-03-08,-9621.4833984375,-9621.4833984375,-9360.033378758413,-9621.4833984375,11813396
2004-03-09,-9673.7744140625,-9804.508452002998,-9543.058416453548,-9804.508452002998,33186130
2004-03-10,-9752.2177734375,-9752.2177734375,-9621.482691837977,-9752.2177734375,7682255
2004-03-11,-9490.76953125,-9804.510049507244,-9412.32591211652,-9804.510049507244,15947223
2004-03-12,-9543.0615234375,-9621.487114991596,-9229.32095415363,-9621.487114991596,12555329
2004-03-15,-9882.9541015625,-10065.96054894401,-9752.220050631724,-10065.96054894401,31622725
2004-03-16,-9673.7744140625,-9882.95311955119,-9621.48398247422,-9882.95311955119,8823662
2004-03-17,-9543.0615234375,-9804.511644108617,-9543.0615234375,-9804.511644108617,3908213
2004-03-18,-9673.7744140625,-9752.219081610692,-9490.76798486527,-9752.219081610692,14861514
2004-03-19,-9882.9541015625,-9935.243477150494,-9673.775375288944,-9935.243477150494,21375726
2004-03-22,-10065.9609375,-10196.69499347724,-9882.954483054262,-10196.69499347724,27756707
2004-03-23,-10196.6943359375,-10405.853955267625,-10065.960288390721,-10405.853955267625,33777870
